광역지자체명,기초지자체명,광역지자체 방문자 수,광역지자체 방문자 비율,기초지자체 방문자 수,기초지자체 방문자 비율
강원특별자치도,춘천시,1.52181932E8,4.8,3.0437526E7,10.9
강원특별자치도,원주시,1.52181932E8,4.8,3.5461986E7,12.7
강원특별자치도,강릉시,1.52181932E8,4.8,3.4801134E7,12.4
강원특별자치도,동해시,1.52181932E8,4.8,1.2622586E7,4.5
강원특별자치도,태백시,1.52181932E8,4.8,5494622.0,2.0
강원특별자치도,속초시,1.52181932E8,4.8,2.6281507E7,9.4
강원특별자치도,삼척시,1.52181932E8,4.8,1.2289354E7,4.4
강원특별자치도,홍천군,1.52181932E8,4.8,2.2426607E7,8.0
강원특별자치도,횡성군,1.52181932E8,4.8,1.1483636E7,4.1
강원특별자치도,영월군,1.52181932E8,4.8,7509680.0,2.7
강원특별자치도,평창군,1.52181932E8,4.8,1.7415534E7,6.2
강원특별자치도,정선군,1.52181932E8,4.8,1.0197369E7,3.6
강원특별자치도,철원군,1.52181932E8,4.8,6816061.0,2.4
강원특별자치도,화천군,1.52181932E8,4.8,4300432.0,1.5
강원특별자치도,양구군,1.52181932E8,4.8,3039141.0,1.1
강원특별자치도,인제군,1.52181932E8,4.8,1.0613774E7,3.8
강원특별자치도,고성군,1.52181932E8,4.8,1.3001149E7,4.6
강원특별자치도,양양군,1.52181932E8,4.8,1.5695323E7,5.6
경기도,수원시,6.71255032E8,21.4,2.00303078E8,10.5
경기도,성남시,6.71255032E8,21.4,1.53148222E8,8.0
경기도,의정부시,6.71255032E8,21.4,4.476191E7,2.3
경기도,안양시,6.71255032E8,21.4,7.2801096E7,3.8
경기도,부천시,6.71255032E8,21.4,1.08495618E8,5.7
경기도,광명시,6.71255032E8,21.4,4.5811574E7,2.4
경기도,평택시,6.71255032E8,21.4,5.608763E7,2.9
경기도,동두천시,6.71255032E8,21.4,1.0347603E7,0.5
경기도,안산시,6.71255032E8,21.4,8.2136736E7,4.3
경기도,고양시,6.71255032E8,21.4,1.4877666E8,7.8
경기도,과천시,6.71255032E8,21.4,2.2415102E7,1.2
경기도,구리시,6.71255032E8,21.4,4.941348E7,2.6
경기도,남양주시,6.71255032E8,21.4,7.2471444E7,3.8
경기도,오산시,6.71255032E8,21.4,3.2319427E7,1.7
경기도,시흥시,6.71255032E8,21.4,5.724005E7,3.0
경기도,군포시,6.71255032E8,21.4,2.6688774E7,1.4
경기도,의왕시,6.71255032E8,21.4,3.1753099E7,1.7
경기도,하남시,6.71255032E8,21.4,5.9981246E7,3.1
경기도,용인시,6.71255032E8,21.4,1.46543159E8,7.7
경기도,파주시,6.71255032E8,21.4,5.415039E7,2.8
경기도,이천시,6.71255032E8,21.4,3.7293382E7,1.9
경기도,안성시,6.71255032E8,21.4,3.7312958E7,1.9
경기도,김포시,6.71255032E8,21.4,5.327686E7,2.8
경기도,화성시,6.71255032E8,21.4,1.09152561E8,5.7
경기도,광주시,6.71255032E8,21.4,4.7790491E7,2.5
경기도,양주시,6.71255032E8,21.4,3.5210032E7,1.8
경기도,포천시,6.71255032E8,21.4,2.872918E7,1.5
경기도,여주시,6.71255032E8,21.4,2.5119325E7,1.3
경기도,연천군,6.71255032E8,21.4,9306146.0,0.5
경기도,가평군,6.71255032E8,21.4,2.607654E7,1.4
경기도,양평군,6.71255032E8,21.4,2.9636124E7,1.5
경상남도,창원시,1.68089484E8,5.4,1.20334918E8,30.9
경상남도,진주시,1.68089484E8,5.4,2.389099E7,6.1
경상남도,통영시,1.68089484E8,5.4,1.6428699E7,4.2
경상남도,사천시,1.68089484E8,5.4,1.5537078E7,4.0
경상남도,김해시,1.68089484E8,5.4,4.8339116E7,12.4
경상남도,밀양시,1.68089484E8,5.4,1.6138206E7,4.1
경상남도,거제시,1.68089484E8,5.4,2.371615E7,6.1
경상남도,양산시,1.68089484E8,5.4,3.9203566E7,10.1
경상남도,의령군,1.68089484E8,5.4,4691568.0,1.2
경상남도,함안군,1.68089484E8,5.4,1.1735969E7,3.0
경상남도,창녕군,1.68089484E8,5.4,1.0533929E7,2.7
경상남도,고성군,1.68089484E8,5.4,1.0964026E7,2.8
경상남도,남해군,1.68089484E8,5.4,9169622.0,2.4
경상남도,하동군,1.68089484E8,5.4,8058046.0,2.1
경상남도,산청군,1.68089484E8,5.4,7482114.0,1.9
경상남도,함양군,1.68089484E8,5.4,8777503.0,2.3
경상남도,거창군,1.68089484E8,5.4,7039722.0,1.8
경상남도,합천군,1.68089484E8,5.4,7018610.0,1.8
경상북도,포항시,1.90041106E8,6.1,5.7234314E7,16.4
경상북도,경주시,1.90041106E8,6.1,5.1092716E7,14.6
경상북도,김천시,1.90041106E8,6.1,1.5894848E7,4.6
경상북도,안동시,1.90041106E8,6.1,1.8243474E7,5.2
경상북도,구미시,1.90041106E8,6.1,2.8183488E7,8.1
경상북도,영주시,1.90041106E8,6.1,9612600.0,2.8
경상북도,영천시,1.90041106E8,6.1,1.4082243E7,4.0
경상북도,상주시,1.90041106E8,6.1,1.4493734E7,4.2
경상북도,문경시,1.90041106E8,6.1,1.256977E7,3.6
경상북도,경산시,1.90041106E8,6.1,3.197307E7,9.2
경상북도,의성군,1.90041106E8,6.1,7077830.0,2.0
경상북도,청송군,1.90041106E8,6.1,5050336.0,1.4
경상북도,영양군,1.90041106E8,6.1,1854125.0,0.5
경상북도,영덕군,1.90041106E8,6.1,1.086357E7,3.1
경상북도,청도군,1.90041106E8,6.1,1.0658284E7,3.1
경상북도,고령군,1.90041106E8,6.1,6546362.0,1.9
경상북도,성주군,1.90041106E8,6.1,7978180.0,2.3
경상북도,칠곡군,1.90041106E8,6.1,2.3174238E7,6.6
경상북도,예천군,1.90041106E8,6.1,7120508.0,2.0
경상북도,봉화군,1.90041106E8,6.1,4748891.0,1.4
경상북도,울진군,1.90041106E8,6.1,8796386.0,2.5
경상북도,울릉군,1.90041106E8,6.1,1569690.0,0.5
광주광역시,동구,7.228256E7,2.3,3.5389907E7,16.2
광주광역시,서구,7.228256E7,2.3,5.7483517E7,26.4
광주광역시,남구,7.228256E7,2.3,2.1618898E7,9.9
광주광역시,북구,7.228256E7,2.3,5.2331713E7,24.0
광주광역시,광산구,7.228256E7,2.3,5.1148377E7,23.5
대구광역시,중구,1.14197069E8,3.6,7.0287136E7,17.8
대구광역시,동구,1.14197069E8,3.6,6.7744926E7,17.2
대구광역시,서구,1.14197069E8,3.6,2.3096584E7,5.9
대구광역시,남구,1.14197069E8,3.6,2.7728004E7,7.0
대구광역시,북구,1.14197069E8,3.6,5.5279046E7,14.0
대구광역시,수성구,1.14197069E8,3.6,5.3385826E7,13.5
대구광역시,달서구,1.14197069E8,3.6,5.7512928E7,14.6
대구광역시,달성군,1.14197069E8,3.6,3.1631033E7,8.0
대구광역시,군위군,1.14197069E8,3.6,7956914.0,2.0
대전광역시,동구,9.2794156E7,3.0,4.4289203E7,17.3
대전광역시,중구,9.2794156E7,3.0,5.0218966E7,19.6
대전광역시,서구,9.2794156E7,3.0,6.715918E7,26.3
대전광역시,유성구,9.2794156E7,3.0,6.5296052E7,25.5
대전광역시,대덕구,9.2794156E7,3.0,2.882034E7,11.3
부산광역시,중구,1.63810136E8,5.2,4.1136742E7,6.6
부산광역시,서구,1.63810136E8,5.2,2.1774722E7,3.5
부산광역시,동구,1.63810136E8,5.2,3.934988E7,6.3
부산광역시,영도구,1.63810136E8,5.2,1.9096483E7,3.1
부산광역시,부산진구,1.63810136E8,5.2,7.7379435E7,12.4
부산광역시,동래구,1.63810136E8,5.2,4.3019204E7,6.9
부산광역시,남구,1.63810136E8,5.2,3.3128375E7,5.3
부산광역시,북구,1.63810136E8,5.2,2.564269E7,4.1
부산광역시,해운대구,1.63810136E8,5.2,7.3758097E7,11.8
부산광역시,사하구,1.63810136E8,5.2,2.5669826E7,4.1
부산광역시,금정구,1.63810136E8,5.2,3.1272017E7,5.0
부산광역시,강서구,1.63810136E8,5.2,4.551842E7,7.3
부산광역시,연제구,1.63810136E8,5.2,3.2899888E7,5.3
부산광역시,수영구,1.63810136E8,5.2,4.2363349E7,6.8
부산광역시,사상구,1.63810136E8,5.2,2.9862315E7,4.8
부산광역시,기장군,1.63810136E8,5.2,4.2505984E7,6.8
서울특별시,종로구,6.41157912E8,20.4,1.5190008E8,6.7
서울특별시,중구,6.41157912E8,20.4,1.5340746E8,6.8
서울특별시,용산구,6.41157912E8,20.4,1.20432322E8,5.3
서울특별시,성동구,6.41157912E8,20.4,8.0013255E7,3.5
서울특별시,광진구,6.41157912E8,20.4,7.703004E7,3.4
서울특별시,동대문구,6.41157912E8,20.4,6.046655E7,2.7
서울특별시,중랑구,6.41157912E8,20.4,3.8161266E7,1.7
서울특별시,성북구,6.41157912E8,20.4,6.1522584E7,2.7
서울특별시,강북구,6.41157912E8,20.4,3.5690826E7,1.6
서울특별시,도봉구,6.41157912E8,20.4,3.5028392E7,1.6
서울특별시,노원구,6.41157912E8,20.4,6.2907747E7,2.8
서울특별시,은평구,6.41157912E8,20.4,3.8232904E7,1.7
서울특별시,서대문구,6.41157912E8,20.4,9.2375269E7,4.1
서울특별시,마포구,6.41157912E8,20.4,1.25919997E8,5.6
서울특별시,양천구,6.41157912E8,20.4,4.238674E7,1.9
서울특별시,강서구,6.41157912E8,20.4,9.7848488E7,4.3
서울특별시,구로구,6.41157912E8,20.4,7.0332966E7,3.1
서울특별시,금천구,6.41157912E8,20.4,3.0871498E7,1.4
서울특별시,영등포구,6.41157912E8,20.4,1.22471948E8,5.4
서울특별시,동작구,6.41157912E8,20.4,7.001841E7,3.1
서울특별시,관악구,6.41157912E8,20.4,6.9979672E7,3.1
서울특별시,서초구,6.41157912E8,20.4,1.95221996E8,8.6
서울특별시,강남구,6.41157912E8,20.4,2.31650265E8,10.3
서울특별시,송파구,6.41157912E8,20.4,1.36993563E8,6.1
서울특별시,강동구,6.41157912E8,20.4,5.8393713E7,2.6
세종특별자치시,세종특별자치시,3.0762515E7,1.0,3.4357561E7,100.0
울산광역시,중구,5.2902896E7,1.7,2.4284841E7,15.9
울산광역시,남구,5.2902896E7,1.7,4.9702506E7,32.5
