기준년월,광역지자체,방문자 구분,방문자 수
202504,전국,외지인방문자(b),2.24573307E8
202504,전국,전체방문자(a+b),1.00120146E9
202504,전국,현지인방문자(a),7.76628153E8
202505,전국,외지인방문자(b),2.94537796E8
202505,전국,전체방문자(a+b),1.114671708E9
202505,전국,현지인방문자(a),8.20133912E8
202506,전국,외지인방문자(b),2.48355233E8
202506,전국,전체방문자(a+b),1.056194909E9
202506,전국,현지인방문자(a),8.07839676E8
202507,전국,외지인방문자(b),2.65590038E8
202507,전국,전체방문자(a+b),1.107580201E9
202507,전국,현지인방문자(a),8.41990163E8
202508,전국,외지인방문자(b),2.76922254E8
202508,전국,전체방문자(a+b),1.100347818E9
202508,전국,현지인방문자(a),8.23425564E8
202509,전국,외지인방문자(b),2.53690426E8
202509,전국,전체방문자(a+b),1.088562906E9
202509,전국,현지인방문자(a),8.34872479E8
202510,전국,외지인방문자(b),2.97320482E8
202510,전국,전체방문자(a+b),1.114637944E9
202510,전국,현지인방문자(a),8.17317462E8
202511,전국,외지인방문자(b),2.56506246E8
202511,전국,전체방문자(a+b),1.090827647E9
202511,전국,현지인방문자(a),8.343214E8
202512,전국,외지인방문자(b),2.48885637E8
202512,전국,전체방문자(a+b),1.091103184E9
202512,전국,현지인방문자(a),8.42217548E8
202601,전국,외지인방문자(b),2.42450558E8
202601,전국,전체방문자(a+b),1.04589381E9
202601,전국,현지인방문자(a),8.03443252E8
202602,전국,외지인방문자(b),2.45540964E8
202602,전국,전체방문자(a+b),9.58880206E8
202602,전국,현지인방문자(a),7.13339242E8
202603,전국,외지인방문자(b),2.83564498E8
202603,전국,전체방문자(a+b),1.121737876E9
202603,전국,현지인방문자(a),8.38173378E8
