기준년월,광역지자체,카테고리중분류명,광역지자체 검색건수
202504,전국,전체,36908583
202505,전국,전체,45098120
202506,전국,전체,40428431
202507,전국,전체,41342798
202508,전국,전체,46898151
202509,전국,전체,37100192
202510,전국,전체,68359727
202511,전국,전체,43060973
202512,전국,전체,36019135
202601,전국,전체,33631830
202602,전국,전체,33454554
202603,전국,전체,34707402
202504,전국,기타관광,3660858
202504,전국,문화관광,4808164
202504,전국,쇼핑,4838069
202504,전국,숙박,3277591
202504,전국,음식,15139863
202504,전국,역사관광,1262988
202504,전국,자연관광,1549308
202504,전국,체험관광,208761
202504,전국,레저스포츠,2162981
202505,전국,기타관광,4165286
202505,전국,문화관광,5903445
202505,전국,쇼핑,5567418
202505,전국,숙박,4223668
202505,전국,역사관광,1617945
202505,전국,음식,18603339
202505,전국,자연관광,2105949
202505,전국,체험관광,345820
202505,전국,레저스포츠,2565250
202506,전국,기타관광,3664588
202506,전국,문화관광,5003113
202506,전국,쇼핑,5080741
202506,전국,숙박,3783387
202506,전국,역사관광,1146795
202506,전국,음식,17126598
202506,전국,자연관광,1912243
202506,전국,체험관광,334006
202506,전국,레저스포츠,2376960
202507,전국,기타관광,3450560
202507,전국,문화관광,4627770
202507,전국,쇼핑,5232239
202507,전국,숙박,4328870
202507,전국,역사관광,915470
202507,전국,음식,18351150
202507,전국,레저스포츠,2067874
202507,전국,자연관광,2055149
202507,전국,체험관광,313716
202508,전국,기타관광,3901683
202508,전국,문화관광,5522476
202508,전국,쇼핑,5592969
202508,전국,숙박,5016706
202508,전국,역사관광,1213421
202508,전국,음식,20281922
202508,전국,레저스포츠,2216795
202508,전국,자연관광,2804616
202508,전국,체험관광,347563
202509,전국,기타관광,3433431
202509,전국,문화관광,4479830
202509,전국,쇼핑,5034114
202509,전국,숙박,3475885
202509,전국,역사관광,1001173
202509,전국,음식,15556671
202509,전국,자연관광,1585165
202509,전국,체험관광,313436
202509,전국,레저스포츠,2220487
202510,전국,기타관광,6411495
202510,전국,문화관광,8774878
202510,전국,쇼핑,8657114
202510,전국,숙박,6489435
202510,전국,역사관광,2559136
202510,전국,음식,28003591
202510,전국,자연관광,3066701
202510,전국,체험관광,621386
202510,전국,레저스포츠,3775991
202511,전국,기타관광,4211237
202511,전국,문화관광,5228500
202511,전국,쇼핑,5908415
202511,전국,숙박,4077454
202511,전국,역사관광,1714314
202511,전국,음식,17444281
202511,전국,자연관광,1791939
202511,전국,체험관광,374954
202511,전국,레저스포츠,2309879
202512,전국,기타관광,3287714
202512,전국,문화관광,3785344
202512,전국,쇼핑,5614455
202512,전국,숙박,3540743
202512,전국,역사관광,819748
202512,전국,음식,16429621
202512,전국,레저스포츠,1141320
202512,전국,자연관광,1069805
202512,전국,체험관광,330385
202601,전국,기타관광,3219687
202601,전국,문화관광,3506071
202601,전국,쇼핑,5054277
202601,전국,숙박,3281940
202601,전국,역사관광,843202
202601,전국,음식,15284788
202601,전국,레저스포츠,974912
202601,전국,자연관광,1108810
202601,전국,체험관광,358143
202602,전국,기타관광,3258866
202602,전국,문화관광,3760968
202602,전국,쇼핑,4991157
202602,전국,숙박,3114094
202602,전국,역사관광,1048287
202602,전국,음식,14578266
202602,전국,자연관광,1180266
202602,전국,체험관광,335041
202602,전국,레저스포츠,1187609
202603,전국,기타관광,3262818
202603,전국,문화관광,4266748
202603,전국,쇼핑,4982710
202603,전국,숙박,2870287
202603,전국,역사관광,1134914
202603,전국,음식,14855731
202603,전국,자연관광,1235381
202603,전국,체험관광,331808
202603,전국,레저스포츠,1767005
