광역지자체,기초지자체,광역지자체 검색건수,광역지자체 검색건수 비율,기초지자체 검색건수,기초지자체 검색건수 비율
강원특별자치도,강릉시,35193903,7.1,6068168,17.2
강원특별자치도,고성군,35193903,7.1,2096776,6.0
강원특별자치도,동해시,35193903,7.1,1047434,3.0
강원특별자치도,삼척시,35193903,7.1,1267199,3.6
강원특별자치도,속초시,35193903,7.1,5734083,16.3
강원특별자치도,양구군,35193903,7.1,191052,0.5
강원특별자치도,양양군,35193903,7.1,2400386,6.8
강원특별자치도,영월군,35193903,7.1,686341,2.0
강원특별자치도,원주시,35193903,7.1,3509430,10.0
강원특별자치도,인제군,35193903,7.1,610920,1.7
강원특별자치도,정선군,35193903,7.1,1389573,3.9
강원특별자치도,철원군,35193903,7.1,726021,2.1
강원특별자치도,춘천시,35193903,7.1,3849792,10.9
강원특별자치도,태백시,35193903,7.1,415433,1.2
강원특별자치도,평창군,35193903,7.1,2205112,6.3
강원특별자치도,홍천군,35193903,7.1,1831536,5.2
강원특별자치도,화천군,35193903,7.1,219482,0.6
강원특별자치도,횡성군,35193903,7.1,945165,2.7
경기도,가평군,149491624,30.0,3371173,2.3
경기도,고양시 덕양구,149491624,30.0,5953013,4.0
경기도,고양시 일산동구,149491624,30.0,4186727,2.8
경기도,고양시 일산서구,149491624,30.0,2941036,2.0
경기도,과천시,149491624,30.0,1700103,1.1
경기도,광명시,149491624,30.0,3461215,2.3
경기도,광주시,149491624,30.0,3976569,2.7
경기도,구리시,149491624,30.0,2067271,1.4
경기도,군포시,149491624,30.0,786159,0.5
경기도,김포시,149491624,30.0,5419743,3.6
경기도,남양주시,149491624,30.0,8406500,5.6
경기도,동두천시,149491624,30.0,579243,0.4
경기도,부천시 소사구,149491624,30.0,737857,0.5
경기도,부천시 오정구,149491624,30.0,536995,0.4
경기도,부천시 원미구,149491624,30.0,2765349,1.8
경기도,성남시 분당구,149491624,30.0,6341142,4.2
경기도,성남시 수정구,149491624,30.0,1707889,1.1
경기도,성남시 중원구,149491624,30.0,609123,0.4
경기도,수원시 권선구,149491624,30.0,3199436,2.1
경기도,수원시 영통구,149491624,30.0,3366465,2.3
경기도,수원시 장안구,149491624,30.0,2716598,1.8
경기도,수원시 팔달구,149491624,30.0,3245264,2.2
경기도,시흥시,149491624,30.0,4888132,3.3
경기도,안산시 단원구,149491624,30.0,3132755,2.1
경기도,안산시 상록구,149491624,30.0,1201377,0.8
경기도,안성시,149491624,30.0,3395178,2.3
경기도,안양시 동안구,149491624,30.0,2002258,1.3
경기도,안양시 만안구,149491624,30.0,1126283,0.8
경기도,양주시,149491624,30.0,3000851,2.0
경기도,양평군,149491624,30.0,2742869,1.8
경기도,여주시,149491624,30.0,3573116,2.4
경기도,연천군,149491624,30.0,838338,0.6
경기도,오산시,149491624,30.0,1875245,1.3
경기도,용인시 기흥구,149491624,30.0,4547348,3.0
경기도,용인시 수지구,149491624,30.0,2743608,1.8
경기도,용인시 처인구,149491624,30.0,6172103,4.1
경기도,의왕시,149491624,30.0,2189693,1.5
경기도,의정부시,149491624,30.0,2832858,1.9
경기도,이천시,149491624,30.0,3330828,2.2
경기도,파주시,149491624,30.0,7908637,5.3
경기도,평택시,149491624,30.0,4750774,3.2
경기도,포천시,149491624,30.0,3771877,2.5
경기도,하남시,149491624,30.0,5411994,3.6
경기도,화성시,149491624,30.0,8573026,5.7
경기도,화성시 동탄구,149491624,30.0,654338,0.4
경기도,화성시 만세구,149491624,30.0,402506,0.3
경기도,화성시 병점구,149491624,30.0,184927,0.1
경기도,화성시 효행구,149491624,30.0,165835,0.1
경상남도,거제시,24867129,5.0,2313129,9.3
경상남도,거창군,24867129,5.0,488045,2.0
경상남도,고성군,24867129,5.0,425895,1.7
경상남도,김해시,24867129,5.0,3737744,15.0
경상남도,남해군,24867129,5.0,1038812,4.2
경상남도,밀양시,24867129,5.0,1113928,4.5
경상남도,사천시,24867129,5.0,1059255,4.3
경상남도,산청군,24867129,5.0,304563,1.2
경상남도,양산시,24867129,5.0,2685803,10.8
경상남도,의령군,24867129,5.0,287028,1.2
경상남도,진주시,24867129,5.0,1667232,6.7
경상남도,창녕군,24867129,5.0,473176,1.9
경상남도,창원시 마산합포구,24867129,5.0,1164984,4.7
경상남도,창원시 마산회원구,24867129,5.0,610212,2.5
경상남도,창원시 성산구,24867129,5.0,1864830,7.5
경상남도,창원시 의창구,24867129,5.0,1443889,5.8
경상남도,창원시 진해구,24867129,5.0,1207605,4.9
경상남도,통영시,24867129,5.0,1393764,5.6
경상남도,하동군,24867129,5.0,529085,2.1
경상남도,함안군,24867129,5.0,402487,1.6
경상남도,함양군,24867129,5.0,246656,1.0
경상남도,합천군,24867129,5.0,409007,1.6
경상북도,경산시,23115663,4.6,1313842,5.7
경상북도,경주시,23115663,4.6,6448952,27.9
경상북도,고령군,23115663,4.6,236561,1.0
경상북도,구미시,23115663,4.6,1957540,8.5
경상북도,김천시,23115663,4.6,834925,3.6
경상북도,문경시,23115663,4.6,758445,3.3
경상북도,봉화군,23115663,4.6,168710,0.7
경상북도,상주시,23115663,4.6,456923,2.0
경상북도,성주군,23115663,4.6,194725,0.8
경상북도,안동시,23115663,4.6,1269639,5.5
경상북도,영덕군,23115663,4.6,878669,3.8
경상북도,영양군,23115663,4.6,36590,0.2
경상북도,영주시,23115663,4.6,623379,2.7
