개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,소재지우편번호,도로명우편번호,사업장명,데이터갱신구분,객실수,건물용도명,건축연면적,기념품종류,데이터갱신시점,도로명주소,무대면적,문화사업자구분명,문화체육업종명,보험기관명,보험시작일자,보험종료일자,상세영업상태명,상세영업상태코드,선박제원,선박척수,선박총톤수,시설규모,시설면적,영문상호명,영문상호주소,영업상태코드,자본금,전화번호,제작취급품목내용,좌석수,좌표정보(X),좌표정보(Y),주변환경명,지번주소,지상층수,지역구분명,지하층수,총층수,회의실별동시수용인원,최종수정시점
3000000,CDFI3261052000000001,2000-10-05,,제외/삭제/전출,2010-05-17,,,110-999,,(주)허니문여행사,I,,,,,2025-12-15 16:15:28,,,,관광순환버스업,,,,전출,15,,,,,,Honey Moon Travel co.kr,City Tour,05,150000000,,,,,,,서울특별시 종로구 신문로1가 63 광화문오피시아 1105호,,,,,,2010-05-17 09:31:23
3010000,CDFI3261052017000001,2013-01-29,,영업/정상,,,,,04544,(주)노랑풍선시티버스,I,,,,,2026-03-26 22:36:11,"서울특별시 중구 을지로15길 32, 힐스테이트세운센트럴 2단지 309비호 (입정동)",,,관광순환버스업,,,,영업중,13,,,,,,"Yellow Ballon City Bus Co., LTD.",Circular tour bus business,01,350000000,,,,,,,서울특별시 중구 입정동 280 힐스테이트세운센트럴 2단지 ,,,,,,2025-07-16 16:18:29
3010000,CDFI3261052010000001,2000-10-05,,영업/정상,,,,,04519,서울시티투어버스(주),I,,,,,2026-03-26 22:36:11,서울특별시 중구 세종대로 135-7 (태평로1가),,,관광순환버스업,,,,영업중,13,,,,,,Honey Moon Travel co.kr,City Tour,01,150000000,,,,197831.859040235    ,451793.472953086    ,,서울특별시 중구 태평로1가 62-9 ,,,,,,2021-06-15 17:34:03
3040000,CDFI3261052013000001,2013-07-02,,휴업,,2023-10-26,2024-10-25,143-222,,서울두레관광(주),I,,,,,2026-03-10 22:06:13,"서울특별시 광진구 천호대로 607, 3층 (중곡동, 율림빌딩)",,,관광순환버스업,,,,휴업,02,,,,,,,,02,,024650700,,,207475.144909536    ,450340.862168452    ,,서울특별시 광진구 중곡동 131-7 율림빌딩 3층 ,,,,,,2023-10-27 10:45:46
3130000,CDFI3261052025000001,2025-05-28,,영업/정상,,,,,03901,마포구시설관리공단,I,,,,,2025-12-15 16:15:28,"서울특별시 마포구 월드컵로 235, 마포농수산물시장,마포구시설관리공단 (성산동)",,,관광순환버스업,,,,영업중,13,,,,,,,,01,800000000,023005088,,,190931.000875925    ,451427.722144609    ,,"서울특별시 마포구 성산동 533-1 마포농수산물시장,마포구시설관리공단 ",,,,,,2025-05-28 18:11:24
3150000,CDFI3261052013000001,2013-01-29,,제외/삭제/전출,2017-08-25,,,157-040,,서울투어버스여행(주),I,,,,,2026-03-26 22:30:46,서울특별시 강서구 공항대로61길 22 (염창동),,,관광순환버스업,,,,전출,15,,,,,,seoul,,05,350000000,0226586241,,,188085.864976333    ,449970.526014983    ,,서울특별시 강서구 염창동 273-8 ,,,,,,2017-08-25 09:31:45
3270000,CDFI3261052015000001,2015-08-10,,폐업,2020-05-01,,,,48816,주식회사 시티투어점보버스,I,,,,,2026-03-10 22:42:19,"부산광역시 동구 중앙대로 197, 701호 (초량동, 뉴포트빌딩)",,,관광순환버스업,,,,폐업,03,,,,,,,,03,,0517143799,,,385839.542988111    ,181465.87082052     ,,부산광역시 동구 초량동 1208-18 뉴포트빌딩 701호,,,,,,2020-05-25 17:10:54
3270000,CDFI3261052009000001,2009-03-09,,영업/정상,,,,,48821,부산관광공사 부산시티투어,I,,,,,2026-03-10 22:42:16,"부산광역시 동구 중앙대로 192, 한국교직원공제회 부산회관 701호 (초량동)",,,관광순환버스업,,,,영업중,13,,,,,,BUSAN TOURISM DEVELOPMENT CO.LTD.,Sigthseeing in the City,01,15000000000,,,,385885.652834827    ,181374.673098149    ,,부산광역시 동구 초량동 1205-1 한국교직원공제회 부산회관 ,,,,,,2022-02-28 14:12:11
3410000,CDFI3261052016000001,2016-04-21,,폐업,2021-12-31,,,,41919,문화마을협동조합,I,,,,,2026-03-26 22:06:14,대구광역시 중구 서성로14길 26 (서내동),,,관광순환버스업,,,,폐업,03,,,,,,,,03,,0532550531,,,343431.965046371    ,264751.408155428    ,,대구광역시 중구 서내동 53-3 ,,,,,,2022-02-14 09:36:03
3440000,CDFI3261052010000001,2010-03-22,,폐업,2020-01-01,,,705-040,,대구시설공단,I,,,,,2026-03-26 22:06:14,대구광역시 남구 대명로 29 (대명동),,,관광순환버스업,,,,폐업,03,,,,,,DAEGU INFRASTRUCTURE CORPORATION ALL RIGHTS RESERVED,City Tour Business,03,,,,,340974.010268295    ,260986.000417454    ,,대구광역시 남구 대명동 1593-4 ,,,,,,2020-01-16 16:39:43
3450000,CDFI3261052023000001,2016-01-12,,영업/정상,,,,,41515,대구광역시 관광협회,I,,,,,2026-03-26 22:30:31,"대구광역시 북구 유통단지로14길 17, 3층 (산격동)",,,관광순환버스업,,,,영업중,13,,,,,,,,01,,0537466408,,,345445.028456066    ,268510.029843501    ,,대구광역시 북구 산격동 1670 ,,,,,,2025-04-08 13:26:02
3460000,CDFI3261052012000001,2012-06-18,,폐업,2015-12-31,,,706-170,42275,삼성플러스관광(주),I,,,,,2026-03-26 22:30:50,대구광역시 수성구 신매로16길 46 (신매동),,,관광순환버스업,,,,폐업,03,,,,,,,,03,450000000,0537948700,,,354410.500233003    ,261208.626407446    ,,대구광역시 수성구 신매동 573 ,,,,,,2016-01-07 19:07:45
3470000,CDFI3261052016000001,2016-01-12,,제외/삭제/전출,2023-11-10,,,,42672,대구광역시 관광협회,I,,,,,2026-03-26 22:30:45,"대구광역시 달서구 공원순환로 46 (두류동, 대구관광정보센터)",,,관광순환버스업,,,,전출,15,,,,,,,,05,,,,,340608.886881304    ,262318.248215466    ,,대구광역시 달서구 두류동 588 ,,,,,,2023-11-10 10:52:37
3470000,CDFI3261052007000001,2007-12-28,,폐업,2012-07-01,,,704-910,,대구광역시관광협회,I,,,,,2026-03-26 22:30:45,"대구광역시 달서구 공원순환로 46 (두류동, 대구관광정보센터)",,,관광순환버스업,,,,폐업,03,,,,,,,,03,,,,,340608.886881304    ,262318.248215466    ,,대구광역시 달서구 두류동 588 대구관광정보센터 ,,,,,,2012-07-18 14:39:30
3480000,CDFI3261052016000001,2016-04-20,,영업/정상,,,,,42945,달성군시설관리공단,I,,,,,2026-03-26 22:06:15,대구광역시 달성군 화원읍 성천로 5 (달성군여성문화복지센터),,,관광순환버스업,,,,영업중,13,,,,,,,,01,300000000,,,,334459.086907659    ,256422.829061232    ,,대구광역시 달성군 화원읍 설화리 553-41 ,,,,,,2023-11-06 17:14:02
3490000,CDFI3261052014000001,2014-10-02,,휴업,,2016-07-14,2019-07-13,400-833,22371,아쿠아버스,I,,,,,2026-04-01 23:14:09,"인천광역시 중구 영종대로 108, 202호 (운서동, 비투비오피스텔)",,,관광순환버스업,,,,휴업,02,,,,,,,,02,600000000,,,,154945.502968718    ,443748.417071824    ,,인천광역시 중구 운서동 2800-2 ,,,,,,2016-08-09 18:18:28
3520000,CDFI3261052019000001,2019-03-29,,영업/정상,,,,,21999,인천관광공사,I,,,,,2026-03-26 22:37:29,"인천광역시 연수구 갯벌로 12, 미추홀타워(본관) 16층 (송도동)",,,관광순환버스업,,,,영업중,13,,,,,,,,01,52029900900,,,,169347.622511638    ,431201.100992673    ,,인천광역시 연수구 송도동 7-50 미추홀타워(본관) ,,,,,,2019-03-29 13:06:37
3530000,CDFI3261052008000001,2008-03-05,,영업/정상,,,,,21553,강서관광(주),I,,,,,2025-12-15 16:15:28,"인천광역시 남동구 구월로 42, 동우빌딩 301, 302호 (간석동)",,,관광순환버스업,,,,영업중,13,,,,,,"Kang Seo Tour CO., LTD.",Circular tour bus business,01,,0324340003,,,172928.774290132    ,439492.979223401    ,,인천광역시 남동구 간석동 901 동우빌딩 ,,,,,,2020-04-02 14:53:21
3530000,CDFI3261052025000001,2025-06-11,,영업/정상,,,,,21591,뉴스타관광(주),I,,,,,2025-12-15 16:15:28,"인천광역시 남동구 인주대로888번길 10, 흥농빌딩 202호 (만수동)",,,관광순환버스업,,,,영업중,13,,,,,,,,01,232560000,,,,176558.785951112    ,438430.081564495    ,,인천광역시 남동구 만수동 1073-7 흥농빌딩 ,,,,,,2025-06-11 09:13:02
3570000,CDFI3261052007000001,2007-07-10,,폐업,2010-12-15,,,417-823,,강화선진버스(주),I,,,,,2026-03-26 22:36:15,,,관광사업,관광순환버스업,,,,폐업,03,,,,,,,,03,200000000,,,,154479.254983475    ,469468.244613982    ,,인천광역시 강화군 선원면 창리 587 ,,,,,,2010-12-22 15:46:32
3570000,CDFI3261052018000001,2018-03-20,,폐업,2018-12-31,,,,23041,강화선진버스 주식회사,I,,,,,2026-03-26 22:36:15,"인천광역시 강화군 선원면 중앙로 219, 선진버스(주)강화지점",,,관광순환버스업,,,,폐업,03,,,,,,,,03,200000000,0329349105,,,154479.254983475    ,469468.244613982    ,,인천광역시 강화군 선원면 창리 587 선진버스(주)강화지점 ,,,,,,2019-01-21 11:12:04
3650000,CDFI3261052010000001,2010-02-08,,폐업,2015-06-24,,,301-822,,(주)백제관광,I,,사무실,,,2025-12-15 16:15:28,대전광역시 중구 중앙로 131  (선화동),,,관광순환버스업,,,,폐업,03,,,,804,803.87,,,03,614000000,,,,238023.473935639    ,314257.89645623     ,기타,대전광역시 중구 선화동 63 ,7,일반상업지역,2,9,,2015-06-24 09:17:37
3700000,CDFI3261052013000001,2013-07-18,,폐업,2015-07-31,,,680-012,44667,(주)유엠엑스,I,,,,,2025-12-15 16:15:28,"울산광역시 남구 대공원로 241, 504호 (신정동)",,,관광순환버스업,,,,폐업,03,,,,,,,,03,3500000000,,,,409204.471642157    ,228147.843983287    ,,울산광역시 남구 신정동 1873 코오롱파크폴리스 504호,,,,,,2015-08-03 11:11:35
3700000,CDFI3261052015000001,2015-12-31,,제외/삭제/전출,2021-04-30,,,,44740,울산광역시 도시공사,I,,,,,2025-12-15 16:15:28,"울산광역시 남구 두왕로 318, 2층 (신정동)",,,관광순환버스업,,,,전출,15,,,,,,,,05,,0522198400,,,409325.682166462    ,228110.188399733    ,,울산광역시 남구 신정동 1820-1 ,,,,,,2021-04-30 17:07:44
3720000,CDFI3261052015000001,2015-12-31,,제외/삭제/전출,2017-11-29,,,,44248,울산광역시도시공사,I,,,,,2026-03-26 22:36:15,"울산광역시 북구 진장유통로 16 (진장동, 진장디플렉스)",,,관광순환버스업,,,,전출,15,,,,,,,,05,130000000000,0522198464,,,413726.417438045    ,232770.876692856    ,,울산광역시 북구 진장동 285-3 ,,,,,,2017-11-29 17:24:09
