개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,소재지우편번호,도로명우편번호,사업장명,데이터갱신구분,객실수,건물용도명,건축연면적,기념품종류,데이터갱신시점,도로명주소,무대면적,문화사업자구분명,문화체육업종명,보험기관명,보험시작일자,보험종료일자,상세영업상태명,상세영업상태코드,선박제원,선박척수,선박총톤수,시설규모,시설면적,영문상호명,영문상호주소,영업상태코드,자본금,전화번호,제작취급품목내용,좌석수,좌표정보(X),좌표정보(Y),주변환경명,지번주소,지상층수,지역구분명,지하층수,총층수,회의실별동시수용인원,최종수정시점
3080000,CDFI2262121987000001,1987-07-08,,폐업,2008-02-26,,,142-861,,주식회사서울드림랜드,I,,,,,2026-01-08 16:11:34,서울특별시 강북구 월계로 173  (번동),,관광사업,종합휴양업,,,,폐업,03,,,,,,,,03,,029826800,,,203565.427701441    ,457714.884022453    ,,서울특별시 강북구 번동 산 28-6 ,,,,,,2008-03-11 11:02:58
3180000,CDFI2262122008000001,2008-12-30,,폐업,2021-05-06,,,150-763,07345,한화호텔앤드리조트주식회사,I,,,,,2026-03-26 22:07:10,"서울특별시 영등포구 63로 50, 12층 (여의도동, 한화생명빌딩)",,관광사업,종합휴양업,,,,폐업,03,,,,9707,9706.87,,,03,,,,,194632.526367463    ,446401.926526228    ,,서울특별시 영등포구 여의도동 60 ,,,,,,2021-05-10 10:09:57
3230000,CDFI2262122005000001,1990-03-22,,영업/정상,,,,138-220,05554,롯데월드,I,,근린생활시설,,,2026-03-26 22:31:49,서울특별시 송파구 올림픽로 240 (잠실동),,관광사업,종합휴양업,,,,영업중,13,,,,570411,570410.88,,,01,,024112222,,,208589.363343145    ,445455.90405262     ,기타,서울특별시 송파구 잠실동 40-1 ,33,상업지역,4,,,2025-02-07 17:04:34
3330000,CDFI2262122009000001,2009-03-02,,영업/정상,,,,612-020,48058,신세계센텀시티점,I,,,,,2026-03-26 22:32:10,부산광역시 해운대구 센텀남대로 35 (우동),,,종합휴양업,,,,영업중,13,,,,,,,,01,94320500000,,,,393952.264486105    ,187602.933160728    ,,부산광역시 해운대구 우동 1495 ,,,,,,2024-04-19 11:06:55
3480000,CDFI2262122003000001,2003-07-14,,영업/정상,,,,711-861,42938,주식회사 스파밸리,I,,근린생활시설,,,2026-03-26 22:07:14,대구광역시 달성군 가창면 가창로 891,,,종합휴양업,삼성화재,,,영업중,13,,,,17850,17850,SPAVALLEY,Tourist-use Facility Business(First-class Universal Recreation Business),01,1420000000,,,,347783.240396825    ,255360.475912095    ,기타,대구광역시 달성군 가창면 냉천리 27-9 ,4,자연녹지지역,2,6,,2020-07-10 09:58:20
3520000,CDFI2262121987000001,1987-05-28,,폐업,2012-01-31,,,406-050,,송도유원지,I,,,,,2025-12-15 16:15:28,,,관광사업,종합휴양업,,,,폐업,03,,,,254645,254645,,,03,,,,,,,,인천광역시 연수구 옥련동 504 ,,,,,,2012-02-06 15:55:12
3650000,CDFI2262122016000001,2016-07-01,,폐업,2017-11-07,,,,35052,(주)신라애니멀그룹(대전아쿠아리움),I,,문화시설,,,2026-03-26 22:07:13,대전광역시 중구 보문산공원로 469 (대사동),,,종합휴양업,,,,폐업,03,,,,18708,18708,,,03,,0422262100,,,237832.710923972    ,312541.926196495    ,기타,대전광역시 중구 대사동 198 ,4,일반주거지역,,4,,2017-11-07 12:43:42
3650000,CDFI2262122014000001,2014-08-13,,영업/정상,,,,301-212,35073,대전오월드,I,,,,,2026-03-26 22:07:13,대전광역시 중구 사정공원로 70 (사정동),,,종합휴양업,,,,영업중,13,,,,707151,707151,,,01,190143505000,0425804710,,,235868.977826567    ,309797.481100569    ,,대전광역시 중구 사정동 100 ,,자연녹지지역,,,,2023-01-19 09:34:25
3830000,CDFI2262122009000001,2009-08-20,,영업/정상,,,,430-843,,돌석도예박물관(전문휴양업),I,,,,,2026-03-26 22:03:31,경기도 안양시 만안구 병목안로 306 (안양동),,,종합휴양업,,,,영업중,13,,,,,,,,01,,,,,191508.771781119    ,430782.784526567    ,,경기도 안양시 만안구 안양동 1126 ,,,,,,2023-01-12 13:52:48
3860000,CDFI2262122008000001,2008-09-16,,영업/정상,,,,,14592,(주)웅진플레이도시,I,,체육시설,,,2025-12-15 16:15:28,"경기도 부천시 원미구 조마루로 2, 부천체육문화센터 (상동)",,관광사업,종합휴양업,,,,영업중,13,,,,,,,,01,5000000000000,0323108141,,,177375.852950927    ,444220.013600334    ,,경기도 부천시 원미구 상동 572-1 부천체육문화센터 ,4,자연녹지지역,3,7,,2023-03-03 15:42:14
