개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,소재지우편번호,도로명우편번호,사업장명,데이터갱신구분,객실수,건물용도명,건축연면적,기념품종류,데이터갱신시점,도로명주소,무대면적,문화사업자구분명,문화체육업종명,보험기관명,보험시작일자,보험종료일자,상세영업상태명,상세영업상태코드,선박제원,선박척수,선박총톤수,시설규모,시설면적,영문상호명,영문상호주소,영업상태코드,자본금,전화번호,제작취급품목내용,좌석수,좌표정보(X),좌표정보(Y),주변환경명,지번주소,지상층수,지역구분명,지하층수,총층수,회의실별동시수용인원,최종수정시점
3220000,CDFI3261121999000001,1999-05-12,,폐업,2017-03-24,,,135-934,06233,태평,I,,,,,2026-04-22 22:30:22,서울특별시 강남구 테헤란로6길 14 (역삼동),,,관광유흥음식점업,,,,폐업,03,,,,,,,,03,,,,,202628.711245032    ,443941.678923863    ,,서울특별시 강남구 역삼동 824-8 ,,,,,,2017-03-24 17:43:30
3220000,CDFI3261121999000003,1999-03-25,,폐업,2018-08-30,,,135-936,06252,다보,I,,,,,2026-04-22 22:30:22,서울특별시 강남구 역삼로2길 5 (역삼동),,,관광유흥음식점업,,,,폐업,03,,,,,,,,03,400000000,,,,202697.315          ,443432.415          ,,서울특별시 강남구 역삼동 832-23 ,,,,,,2018-08-30 09:43:33
3250000,CDFI3261122011000001,2011-07-06,,폐업,2012-12-13,,,600-082,,전통 쿡,I,,,,,2025-12-15 16:15:28,,,,관광유흥음식점업,,,,폐업,03,,,,,,,,03,,15888056,,,,,,부산광역시 중구 보수동2가 80-6 ,,,,,,2012-12-13 13:35:27
3340000,CDFI3261122013000003,2013-12-05,2015-01-27,취소/말소/만료/정지/중지,,,,604-852,,돈텔마마제우스,I,,숙박시설,,,2026-03-11 01:40:08,부산광역시 사하구 낙동남로1405번길 14 (하단동),,,관광유흥음식점업,,,,지정취소,33,,,,631,631.25,,,04,214000000,,,,379146.456410293    ,180450.299340417    ,,부산광역시 사하구 하단동 527-2 ,8,,4,12,,2015-01-27 18:09:39
3340000,CDFI3261122013000001,2013-12-05,2015-01-27,취소/말소/만료/정지/중지,,,,604-852,,돈텔마마세시봉,I,,숙박시설,,,2026-03-11 01:40:08,부산광역시 사하구 낙동남로1405번길 14 (하단동),,,관광유흥음식점업,,,,지정취소,33,,,,631,631.25,,,04,150000000,,,,379146.456410293    ,180450.299340417    ,,부산광역시 사하구 하단동 527-2 ,8,일반상업지역,4,12,,2015-01-27 18:08:32
3340000,CDFI3261122013000002,2013-12-05,2015-01-27,취소/말소/만료/정지/중지,,,,604-852,,아프리카 호프 소주,I,,숙박시설,,,2026-03-11 01:40:08,부산광역시 사하구 낙동남로1405번길 14 (하단동),,,관광유흥음식점업,,,,지정취소,33,,,,599,598.84,,,04,50000000,,,,379146.456410293    ,180450.299340417    ,,부산광역시 사하구 하단동 527-2 ,8,,4,12,,2015-01-27 18:09:17
3460000,CDFI3261122010000001,2010-03-24,,폐업,2022-02-09,,,706-852,,아리수,I,,,,,2025-12-15 16:15:28,대구광역시 수성구 동대구로 181  (황금동),,,관광유흥음식점업,,,,폐업,03,,,,369,369.18,,,03,150000000,0537841789,,,346657.787152163    ,261954.336987634    ,,대구광역시 수성구 황금동 690-6 ,,,,2,,2022-02-10 09:47:55
3460000,CDFI3261122013000001,2013-05-27,,폐업,2014-12-02,,,706-853,,2.4(투게더 포에버),I,,,,,2025-12-15 16:15:28,대구광역시 수성구 청수로25길 23 (황금동),,,관광유흥음식점업,,,,폐업,03,,,,,,,,03,,,,,346474.138119713    ,261291.732490279    ,,대구광역시 수성구 황금동 890-9 ,,,,4,,2014-12-02 13:59:17
3660000,CDFI3261122014000001,2014-09-23,,폐업,2014-10-28,,,302-831,,호박,I,,,,,2025-12-15 16:15:28,"대전광역시 서구 문예로 41, 지하층 (둔산동)",,,관광유흥음식점업,,,,폐업,03,,,,298,298.17,,,03,,,,,234921.447500154    ,316693.365568707    ,,대전광역시 서구 둔산동 1500 지하 ,,,1,,,2014-10-28 09:25:42
3700000,CDFI3261122015000001,2015-03-15,,영업/정상,,,,680-817,44713,슈퍼스타마마,I,,,,,2026-03-11 01:46:48,"울산광역시 남구 화합로178번길 20, 2층 (삼산동)",,,관광유흥음식점업,,,,영업중,13,,,,224,223.6,,,01,,,,,412283.456788662    ,229268.903702646    ,유흥업소밀집지역,울산광역시 남구 삼산동 1564-11 2층 ,,일반상업지역,,6,,2015-03-16 10:27:37
