name,category,sub_category,sido,address,lat,lon,source
겸재정선미술관,kculture,museum,서울특별시,"서울특별시 강서구 양천로47길 36, 겸재정선미술관 (마곡동)",37.572228067,126.838412724,public
부산포민속박물관,kculture,museum,부산광역시,부산광역시 부산진구 중앙대로702번길 21 (부전동),35.155544778,129.060369483,public
동의대학교박물관,kculture,museum,부산광역시,"부산광역시 부산진구 엄광로 176, 동의대학교 (가야동)",35.142444729,129.034920914,public
지질박물관,kculture,museum,대전광역시,"대전광역시 유성구 과학로 124, 한국지질자원연구원 (가정동)",36.378578198,127.362559942,public
수원박물관,kculture,museum,경기도,"경기도 수원시 영통구 창룡대로 265-0  (이의동,수원박물관)",37.297734659,127.035623549,public
이주대학교 도구박물관,kculture,museum,경기도,경기도 수원시 영통구 월드컵로 206  (원천동),37.284086988,127.042750667,public
경기대학교소성박물관,kculture,museum,경기도,경기도 수원시 영통구 광교산로 154-42  (이의동),37.301213966,127.039497377,public
지도박물관,kculture,museum,경기도,경기도 수원시 영통구 월드컵로 92  (원천동),37.276174076,127.055140905,public
수원화성박물관,kculture,museum,경기도,"경기도 수원시 팔달구 창룡대로 21-0  (매향동,수원화성박물관)",37.282674778,127.019001883,public
수원시립아이파크미술관,kculture,museum,경기도,"경기도 수원시 팔달구 정조로 833-0  (신풍동,수원시립아아파크미술관)",37.282936782,127.015980382,public
해움미술관,kculture,museum,경기도,경기도 수원시 팔달구 매산로 133  (교동),37.272260119,127.015013928,public
세주묘엄박물관,kculture,museum,경기도,경기도 수원시 팔달구 창룡대로 236-54  (우만동),37.290192142,127.03793764,public
수원광교박물관,kculture,museum,경기도,경기도 수원시 영통구 광교로 182  (이의동),37.296306196,127.051409731,public
신구대학교식물원 갤러리 우촌,kculture,museum,경기도,경기도 성남시 수정구 적푸리로 9 (상적동),37.433729451,127.081478465,public
미누현대미술관,kculture,museum,경기도,경기도 성남시 수정구 공원로 360  (신흥동),37.444635205,127.149955275,public
현대어린이책미술관 MOKA,kculture,museum,경기도,경기도 성남시 분당구 판교역로146번길 20  (백현동),37.392783526,127.112067187,public
성남아트센터 큐브미술관,kculture,museum,경기도,경기도 성남시 분당구 성남대로 808  (수내동),37.40295686,127.130554238,public
을지대학교 범석의학박물관,kculture,museum,경기도,"경기도 성남시 수정구 산성대로 553, 을지대학교 7~8층 (양지동)",37.461410198,127.16561617,public
디자인코리아뮤지엄,kculture,museum,경기도,"경기도 성남시 분당구 양현로 322-0 (야탑동,코리아디자인센터)",37.412976348,127.123385725,public
