sigungu,district_danger
강릉시,0.0051
속초시,0.0177
원주시,0.0275
춘천시,0.0326
강릉시,0.0157
동해시,0.0017
삼척시,0.0084
속초시,0.0126
양양군,0.0048
원주시,0.0685
춘천시,0.0624
홍천군,0.0076
가평군,0.0008
고양시 덕양구,0.075
고양시 일산동구,0.034
고양시 일산서구,0.0258
광명시,0.1059
광주시,0.0612
구리시,0.0511
군포시,0.0258
김포시,0.0522
남양주시,0.0719
동두천시,0.0034
부천시,0.1101
부천시 소사구,0.0646
부천시 오정구,0.0379
부천시 원미구,0.127
성남시 분당구,0.0121
성남시 수정구,0.1511
성남시 중원구,0.1124
수원시 권선구,0.0177
수원시 영통구,0.0154
수원시 장안구,0.0382
수원시 팔달구,0.1955
시흥시,0.0503
안산시 단원구,0.0753
안산시 상록구,0.0152
안성시,0.0494
안양시 동안구,0.0365
안양시 만안구,0.0654
양평군,0.011
연천군,0.0169
오산시,0.0458
용인시 기흥구,0.0039
용인시 수지구,0.0101
용인시 처인구,0.011
의왕시,0.0042
의정부시,0.0596
이천시,0.0267
파주시,0.0789
평택시,0.1514
포천시,0.0239
하남시,0.0933
화성시,0.0261
가평군,0.0011
고양시 덕양구,0.0882
고양시 일산동구,0.1458
고양시 일산서구,0.075
과천시,0.0031
광명시,0.082
광주시,0.0261
구리시,0.0666
군포시,0.0388
김포시,0.0789
남양주시,0.0747
동두천시,0.0219
부천시,0.4331
부천시 소사구,0.0053
부천시 오정구,0.0006
부천시 원미구,0.3062
성남시 분당구,0.0579
성남시 수정구,0.0787
성남시 중원구,0.1357
수원시 권선구,0.0716
수원시 영통구,0.0281
수원시 장안구,0.1747
수원시 팔달구,0.1691
시흥시,0.1326
안산시 단원구,0.3559
안산시 상록구,0.102
안성시,0.0188
안양시 동안구,0.1593
안양시 만안구,0.0374
양주시,0.0076
양평군,0.016
여주시,0.0008
연천군,0.0042
오산시,0.1039
용인시 기흥구,0.0059
용인시 수지구,0.0062
용인시 처인구,0.0008
의왕시,0.0
의정부시,0.1309
이천시,0.0152
파주시,0.0534
평택시,0.1112
포천시,0.0166
하남시,0.1357
화성시,0.0337
거제시,0.0472
거창군,0.0042
고성군,0.0404
김해시,0.098
남해군,0.0315
밀양시,0.0284
사천시,0.0185
양산시,0.0169
진주시,0.0654
창원시 마산합포구,0.0775
창원시 마산회원구,0.0278
창원시 성산구,0.0396
창원시 의창구,0.0236
창원시 진해구,0.0261
통영시,0.0955
하동군,0.0042
함안군,0.0247
합천군,0.0194
경산시,0.007
경주시,0.0039
구미시,0.0008
김천시,0.0312
상주시,0.0258
안동시,0.0666
영주시,0.0407
영천시,0.0388
예천군,0.0107
포항시 남구,0.068
포항시 북구,0.0772
거제시,0.0921
거창군,0.0194
고성군,0.0059
김해시,0.1067
남해군,0.0042
밀양시,0.0174
사천시,0.0258
양산시,0.0295
의령군,0.0006
진주시,0.0396
창녕군,0.0185
창원시 마산합포구,0.0379
창원시 마산회원구,0.0169
창원시 성산구,0.0171
창원시 의창구,0.0674
창원시 진해구,0.0242
통영시,0.0551
함안군,0.0011
함양군,0.0006
경산시,0.0882
경주시,0.2169
구미시,0.0593
김천시,0.0542
문경시,0.0087
상주시,0.1913
안동시,0.0315
영덕군,0.0042
영주시,0.0916
의성군,0.0017
칠곡군,0.0202
포항시 남구,0.1087
포항시 북구,0.1772
광산구,0.0287
남구,0.0216
동구,0.0177
북구,0.0632
서구,0.0146
광산구,0.0916
남구,0.0202
동구,0.0213
북구,0.0921
서구,0.0258
남구,0.0261
달서구,0.1194
동구,0.0685
북구,0.0989
서구,0.0402
수성구,0.0654
중구,0.0787
남구,0.1208
달서구,0.6256
달성군,0.0216
동구,0.252
북구,0.6379
서구,0.3699
수성구,0.3674
중구,0.2253
대덕구,0.0242
동구,0.0671
서구,0.1433
유성구,0.0163
중구,0.016
대덕구,0.032
동구,0.0978
서구,0.1697
유성구,0.0716
중구,0.118
금정구,0.141
기장군,0.0236
남구,0.2051
동구,0.1475
동래구,0.0677
부산진구,0.4073
북구,0.0525
사상구,0.1011
사하구,0.1284
서구,0.0452
