contentid,contenttypeid,name,address,addr2,lon,lat,cat1,cat2,cat3,image_url,tel,sub_category,sido
126803,12,당고개순교성지,서울특별시 용산구 청파로 139-26,,126.9669951674,37.5355770817,A02,A0201,A02010900,http://tong.visitkorea.or.kr/cms/resource/19/3568219_image2_1.jpg,,kpop_spot,서울특별시
127216,12,서울 양천고성지,서울특별시 강서구 가양동,,126.8408278075,37.5740425776,A02,A0201,A02010200,http://tong.visitkorea.or.kr/cms/resource/62/3526762_image2_1.jpg,,kpop_spot,서울특별시
126528,12,절두산 순교성지,서울특별시 마포구 토정로 6 (합정동),,126.911874934,37.5446417087,A02,A0201,A02010900,http://tong.visitkorea.or.kr/cms/resource/76/3571776_image2_1.jpg,,kpop_spot,서울특별시
2768133,12,갑곶순교성지,인천광역시 강화군 강화읍 해안동로1366번길 35,,126.5174945418,37.7341959658,A02,A0201,A02010900,http://tong.visitkorea.or.kr/cms/resource/84/3533184_image2_1.jpg,,kpop_spot,인천광역시
2946224,12,광주 충장로 케이팝 스타의 거리,광주광역시 동구 충장로 94 (충장로2가),,126.9172520929,35.147658113,A02,A0203,A02030600,http://tong.visitkorea.or.kr/cms/resource/58/3453358_image2_1.jpg,,tourism_course,광주광역시
129631,12,경상좌수영성지,부산광역시 수영구 수영성로 43,(수영동),129.1117117085,35.1743106361,A02,A0201,A02010100,http://tong.visitkorea.or.kr/cms/resource/02/3476802_image2_1.jpg,,kpop_spot,부산광역시
298112,12,금용암(부산),부산광역시 연제구 성지곡로 111,(거제동),129.049663856,35.1916075512,A02,A0201,A02010800,http://tong.visitkorea.or.kr/cms/resource/77/3031277_image2_1.JPG,,kpop_spot,부산광역시
2946508,12,부산 영화의 거리,"부산광역시 해운대구 마린시티1로 91 (우동, 마린시티두산위브포세이돈)",,129.1444371716,35.1549495207,A02,A0203,A02030600,http://tong.visitkorea.or.kr/cms/resource/43/2947043_image2_1.jpg,,tourism_course,부산광역시
2456837,12,부산 영화의 전당,부산광역시 해운대구 수영강변대로 120,,129.1270576924,35.170794647,A02,A0204,A02040800,http://tong.visitkorea.or.kr/cms/resource/52/3035052_image2_1.jpg,,tourism_course,부산광역시
2554068,12,부산영화체험박물관,부산광역시 중구 대청로126번길 12,(동광동3가),129.0336899238,35.1017589855,A02,A0204,A02040800,http://tong.visitkorea.or.kr/cms/resource/19/3539019_image2_1.jpg,,museum,부산광역시
2381553,12,부산영화촬영스튜디오,부산광역시 해운대구 해운대해변로 52,(우동),129.1380958485,35.1625180008,A02,A0204,A02040800,http://tong.visitkorea.or.kr/cms/resource/73/3337973_image2_1.jpg,,filming_location,부산광역시
3454074,12,영화의전당 라이브러리 자료실,부산광역시 해운대구 수영강변대로 120 (우동),,129.1270687971,35.1710029572,A02,A0203,A02030400,http://tong.visitkorea.or.kr/cms/resource/99/3453999_image2_1.jpg,,tourism_course,부산광역시
1935346,12,언양성당 성지,울산광역시 울주군 언양읍 구교동1길 11,,129.1150893401,35.5698468467,A02,A0201,A02010900,http://tong.visitkorea.or.kr/cms/resource/18/3581718_image2_1.jpg,,kpop_spot,울산광역시
2462674,12,고구려대장간마을 (태왕사신기 촬영장),경기도 구리시 우미내길 41,,127.1109257882,37.5607989622,A02,A0204,A02040800,,,filming_location,경기도
2763759,12,단내 성가정 성지,경기도 이천시 호법면 이섭대천로155번길 38-13,,127.3947208362,37.2196214042,A02,A0201,A02010900,http://tong.visitkorea.or.kr/cms/resource/01/3541501_image2_1.jpg,,kpop_spot,경기도
128062,12,별망성지,경기도 안산시 단원구 초지동,656,126.7979338201,37.29982921,A02,A0201,A02010200,http://tong.visitkorea.or.kr/cms/resource/35/3558735_image2_1.jpg,,kpop_spot,경기도
125555,12,수원 화성 [유네스코 세계유산],경기도 수원시 장안구 영화동,320-2,127.0121147092,37.2873511297,A02,A0201,A02010200,http://tong.visitkorea.or.kr/cms/resource/36/2613036_image2_1.jpg,,tourism_course,경기도
1917066,12,아쿠아플라넷 일산,경기도 고양시 일산서구 한류월드로 282,,126.7555775071,37.6638195002,A02,A0202,A02020600,http://tong.visitkorea.or.kr/cms/resource/79/3361879_image2_1.jpg,,tourism_course,경기도
