travel_days,companion_cnt,trip_type,sido_enc,sido_name,sa1_1,sa1_2,sa1_3,sa1_4,sa1_5,income_score,income_tier,season,log_one_cost,one_cost_raw,total_cost_raw
1,3,1,9,강원특별자치도,1,0,0,0,0,1,0,4,12.736709720082828,340002.0,1020006.0
1,3,1,9,강원특별자치도,1,0,0,0,0,1,0,4,12.622589787624706,303333.0,909999.0
1,3,1,15,경상남도,1,0,0,0,0,1,0,4,12.655028184712867,313334.0,940002.0
0,4,1,8,경기도,1,0,0,0,0,1,0,4,9.711176264112805,16500.0,66000.0
0,1,1,11,충청남도,1,0,0,0,0,1,0,4,10.463131911491967,35000.0,35000.0
2,3,2,13,전라남도,0,1,0,0,0,1,0,4,11.23850177707664,76000.0,228000.0
1,2,1,9,강원특별자치도,1,0,0,0,0,1,0,4,12.479913113434042,263000.0,526000.0
1,2,1,9,강원특별자치도,1,0,0,0,0,1,0,4,12.458778882573533,257500.0,515000.0
2,2,1,1,부산광역시,1,0,0,0,0,1,0,4,12.491255347155265,266000.0,532000.0
0,3,1,3,인천광역시,1,0,0,0,0,1,0,1,10.852574558825365,51666.0,154998.0
0,2,1,11,충청남도,1,0,0,0,0,1,0,1,11.002116507732017,60000.0,120000.0
1,2,1,11,충청남도,1,0,0,0,0,1,0,1,12.409017571151187,245000.0,490000.0
1,1,1,9,강원특별자치도,1,0,0,0,0,1,0,1,12.449022745701502,255000.0,255000.0
1,2,1,1,부산광역시,1,0,0,0,0,1,0,4,12.821260987319457,370000.0,740000.0
1,2,1,9,강원특별자치도,1,0,0,0,0,1,0,4,13.208544743363419,545001.0,1090002.0
1,2,1,9,강원특별자치도,1,0,0,0,0,1,0,4,13.122365377402328,500000.0,1000000.0
0,4,1,8,경기도,1,0,0,0,0,1,0,1,10.819798284210286,50000.0,200000.0
0,2,1,9,강원특별자치도,1,0,0,0,0,1,0,1,11.472113887062386,96000.0,192000.0
0,3,1,8,경기도,1,0,0,0,0,1,0,1,11.51293546492023,100000.0,300000.0
0,2,3,8,경기도,0,0,1,0,0,1,0,1,10.819798284210286,50000.0,100000.0
0,2,1,8,경기도,1,0,0,0,0,1,0,1,11.561725152903833,105000.0,210000.0
0,2,3,8,경기도,0,0,1,0,0,1,0,1,10.819798284210286,50000.0,100000.0
0,2,1,8,경기도,1,0,0,0,0,1,0,1,11.225256725762893,75000.0,150000.0
0,3,1,5,대전광역시,1,0,0,0,0,1,0,2,11.586816985128479,107668.0,323004.0
2,3,1,1,부산광역시,1,0,0,0,0,1,0,2,12.955919106766789,423334.0,1270002.0
2,3,1,9,강원특별자치도,1,0,0,0,0,1,0,2,13.135613209406904,506668.0,1520004.0
0,3,1,9,강원특별자치도,1,0,0,0,0,1,0,2,10.645448706505872,42000.0,126000.0
0,5,1,8,경기도,1,0,0,0,0,1,0,2,10.322230781590136,30400.0,152000.0
1,1,1,9,강원특별자치도,1,0,0,0,0,1,0,2,11.439289689006644,92900.0,92900.0
0,2,1,8,경기도,1,0,0,0,0,1,0,2,10.736418414365376,46000.0,92000.0
2,3,1,9,강원특별자치도,1,0,0,0,0,1,0,2,11.667096144597489,116668.0,350004.0
0,1,1,8,경기도,1,0,0,0,0,1,0,2,10.819798284210286,50000.0,50000.0
0,2,1,8,경기도,1,0,0,0,0,1,0,2,11.225256725762893,75000.0,150000.0
2,3,1,9,강원특별자치도,1,0,0,0,0,1,0,2,11.92504173829169,151000.0,453000.0
0,2,1,8,경기도,1,0,0,0,0,1,0,2,10.275085591132715,29000.0,58000.0
0,15,1,8,경기도,1,0,0,0,0,1,0,2,10.308985993422082,30000.0,450000.0
0,2,1,9,강원특별자치도,1,0,0,0,0,1,0,2,10.686269748667398,43750.0,87500.0
0,3,1,8,경기도,1,0,0,0,0,1,0,2,10.52320345501019,37167.0,111501.0
2,1,3,10,충청북도,0,0,1,0,0,1,0,4,12.206077645517674,200000.0,200000.0
3,2,2,1,부산광역시,0,1,0,0,0,1,0,4,12.449022745701502,255000.0,510000.0
2,3,3,13,전라남도,0,0,1,0,0,1,0,4,11.80061253740951,133333.0,399999.0
2,2,3,10,충청북도,0,0,1,0,0,1,0,4,11.51293546492023,100000.0,200000.0
1,3,3,3,인천광역시,1,0,1,0,0,2,1,4,11.107480356662066,66667.0,200001.0
2,2,2,3,인천광역시,0,1,0,0,0,1,0,4,11.918397239722838,150000.0,300000.0
0,1,1,8,경기도,1,0,0,0,0,1,0,1,10.915106645867503,55000.0,55000.0
0,2,1,9,강원특별자치도,1,0,0,0,0,1,0,1,11.225256725762893,75000.0,150000.0
0,1,1,3,인천광역시,1,0,0,0,0,1,0,1,10.596659732783579,40000.0,40000.0
0,3,1,8,경기도,1,0,0,0,0,1,0,1,11.107480356662066,66667.0,200001.0
2,1,1,16,제주특별자치도,1,0,0,0,0,1,0,1,12.611541086966115,300000.0,300000.0
0,2,1,8,경기도,1,0,0,0,0,1,0,1,11.097425172408931,66000.0,132000.0
0,2,1,8,경기도,1,0,0,0,0,1,0,1,10.17545936253226,26250.0,52500.0
0,2,1,8,경기도,1,0,0,0,0,1,0,1,10.62135173563291,41000.0,82000.0
1,3,1,9,강원특별자치도,1,0,0,0,0,1,0,1,11.793091865380347,132334.0,397002.0
0,3,1,9,강원특별자치도,1,0,0,0,0,1,0,1,10.637464727584328,41666.0,124998.0
0,4,1,8,경기도,1,0,0,0,0,1,0,1,9.90353755128617,20000.0,80000.0
1,4,1,9,강원특별자치도,1,0,0,0,0,1,0,1,11.849404844423074,140000.0,560000.0
0,4,1,8,경기도,1,0,0,0,0,1,0,1,10.609081944147828,40500.0,162000.0
0,2,1,5,대전광역시,1,0,0,0,0,1,0,1,11.283524879179666,79500.0,159000.0
