name,search_query,sub_category,address_raw,lat,lon
영상 제목,날짜 영상 제목,또간집,날짜,,
풍자가 각잡고 맛집 프로하면 생기는 일,04.08 풍자가 각잡고 맛집 프로하면 생기는 일,또간집,04.08,,
풍자연남동맛집 종결,04.22 풍자연남동맛집 종결,또간집,04.22,,
한남동주민만 안다는 찐맛집,05.06 한남동주민만 안다는 찐맛집,또간집,05.06,,
풍자광장시장모든 맛집 먹방,05.20 풍자광장시장모든 맛집 먹방,또간집,05.20,,
방송 출연 절대 안 하는성수동맛집 최초 공개,06.03 방송 출연 절대 안 하는성수동맛집 최초 공개,또간집,06.03,,
신촌맛집 이걸로 끝,06.17 신촌맛집 이걸로 끝,또간집,06.17,,
문래동2시간만에 완판되는 국밥집,07.01 문래동2시간만에 완판되는 국밥집,또간집,07.01,,
풍자망원동맛집 종결,07.15 풍자망원동맛집 종결,또간집,07.15,,
대구맛집 싹 쓸었습니다,07.29 대구맛집 싹 쓸었습니다,또간집,07.29,,
부산맛집 직이네,08.12 부산맛집 직이네,또간집,08.12,,
강남프랜차이즈 속에서 30년 살아남은 맛집,08.26 강남프랜차이즈 속에서 30년 살아남은 맛집,또간집,08.26,,
을지로새삥 맛집 3대장,09.09 을지로새삥 맛집 3대장,또간집,09.09,,
이태원맛집 종결,09.23 이태원맛집 종결,또간집,09.23,,
홍대에서 술또라이 되기 딱 좋은 곳,10.07 홍대에서 술또라이 되기 딱 좋은 곳,또간집,10.07,,
풍자 마음도 훔친 밥 네 공기 가능한 집,10.21 풍자 마음도 훔친 밥 네 공기 가능한 집,또간집,10.21,,
진짜수원인만 아는 로컬 맛집 다 털었다,11.11 진짜수원인만 아는 로컬 맛집 다 털었다,또간집,11.11,,
잠실주민들만 가는 찐로컬 맛집,11.25 잠실주민들만 가는 찐로컬 맛집,또간집,11.25,,
최고의압구정찐맛집을 찾기 위한 양보없는 한판,12.09 최고의압구정찐맛집을 찾기 위한 양보없는 한판,또간집,12.09,,
목포찐맛집 통째로 씹어먹고 옴,12.23 목포찐맛집 통째로 씹어먹고 옴,또간집,12.23,,
맛의 고장전라도에서 환장하고 먹고 왔습니다,01.06 맛의 고장전라도에서 환장하고 먹고 왔습니다,또간집,01.06,,
"또간집 최초 재방문,망원동맛집 쥐 잡듯 뒤졌습니다","01.20 또간집 최초 재방문,망원동맛집 쥐 잡듯 뒤졌습니다",또간집,01.20,,
먹자마자 입이 떡 벌어지는 엄청난대전찐맛집,02.03 먹자마자 입이 떡 벌어지는 엄청난대전찐맛집,또간집,02.03,,
인천주민 풍자도 몰랐던 로컬 찐맛집,02.17 인천주민 풍자도 몰랐던 로컬 찐맛집,또간집,02.17,,
