route_name,sido,sigungu,start_addr_jibun,start_addr_road,start_lat,start_lon,end_lat,end_lon,length_km,width_m,road_type,is_official,road_id,is_wide_road,safety_index
사임당로(2),경기도,파주시,경기도 파주시 문산읍 선유리 668-3,,,,,,2.32,2.0,,0,사임당로(2)_파주시,1,0.0536
사임당로(1),경기도,파주시,경기도 파주시 문산읍 선유리 1358,,,,,,0.25,1.5,,0,사임당로(1)_파주시,0,0.0357
별하람로,경기도,파주시,경기도 파주시 와동동 802,,,,,,0.83,1.5,,0,별하람로_파주시,0,0.0375
법흥로,경기도,파주시,경기도 파주시 탄현면 법흥리 1759,,,,,,1.28,1.8,,0,법흥로_파주시,0,0.0458
범벅들길,경기도,파주시,경기도 파주시 다율동 1024,,,,,,1.08,1.5,,0,범벅들길_파주시,0,0.0382
번영로,경기도,파주시,경기도 파주시 금촌동 972,,,,,,0.27,1.8,,0,번영로_파주시,0,0.0428
방촌로(4),경기도,파주시,경기도 파주시 문산읍 당동리 930-3,,,,,,0.11,3.5,,0,방촌로(4)_파주시,1,0.082
방촌로(3),경기도,파주시,경기도 파주시 문산읍 당동리 899-6,,,,,,0.21,1.5,,0,방촌로(3)_파주시,0,0.0356
방촌로(2),경기도,파주시,경기도 파주시 문산읍 당동리 53-4,,,,,,1.47,1.5,,0,방촌로(2)_파주시,0,0.0394
심학산로(2),경기도,파주시,경기도 파주시 목동동 1141,,,,,,4.62,2.0,,0,심학산로(2)_파주시,1,0.0605
심학산로(1),경기도,파주시,경기도 파주시 문발동 644,,,,,,0.74,1.6,,0,심학산로(1)_파주시,0,0.0395
신문산교서측도로,경기도,파주시,경기도 파주시 문산읍 내포리 1443-2,,,,,,0.66,1.0,,0,신문산교서측도로_파주시,0,0.0253
시청로,경기도,파주시,경기도 파주시 아동동 897,,,,,,0.31,1.5,,0,시청로_파주시,0,0.0359
숲속노을로(4),경기도,파주시,경기도 파주시 동패동 563-4,,,,,,2.39,1.5,,0,숲속노을로(4)_파주시,0,0.0421
숲속노을로(3),경기도,파주시,경기도 파주시 동패동 1744,,,,,,0.15,2.0,,0,숲속노을로(3)_파주시,1,0.0471
숲속노을로(2),경기도,파주시,경기도 파주시 동패동 1745-1,,,,,,0.75,2.0,,0,숲속노을로(2)_파주시,1,0.0489
숲속노을로(1),경기도,파주시,경기도 파주시 문발동 542-4,,,,,,0.72,2.0,,0,숲속노을로(1)_파주시,1,0.0488
술이홀로(3),경기도,파주시,경기도 파주시 파주읍 연풍리 482-8,,,,,,0.96,1.5,,0,술이홀로(3)_파주시,0,0.0379
술이홀로(2),경기도,파주시,경기도 파주시 파주읍 파주리 711-1,,,,,,1.83,1.5,,0,술이홀로(2)_파주시,0,0.0405
쇠재로,경기도,파주시,경기도 파주시 금촌동 978-36,,,,,,2.91,1.8,,0,쇠재로_파주시,0,0.0507
소리천변R,경기도,파주시,경기도 파주시 야당동 915,,,,,,5.0,2.0,,0,소리천변R_파주시,1,0.0616
소리천변L,경기도,파주시,경기도 파주시 야당동 904,,,,,,3.93,2.0,,0,소리천변L_파주시,1,0.0584
소리천로(3),경기도,파주시,경기도 파주시 야당동 1038,,,,,,0.87,2.0,,0,소리천로(3)_파주시,1,0.0492
소리천로(2),경기도,파주시,경기도 파주시 와동동 1416,,,,,,1.42,2.8,,0,소리천로(2)_파주시,1,0.0696
소리천로(1),경기도,파주시,경기도 파주시 와동동 1479,,,,,,1.06,1.5,,0,소리천로(1)_파주시,0,0.0382
센트럴산단로(2),경기도,파주시,경기도 파주시 파주읍 봉암리 1343-3,,,,,,0.13,1.5,,0,센트럴산단로(2)_파주시,0,0.0354
센트럴산단로(1),경기도,파주시,경기도 파주시 파주읍 봉암리 512-13,,,,,,0.83,1.5,,0,센트럴산단로(1)_파주시,0,0.0375
센트럴산단3로(2),경기도,파주시,경기도 파주시 파주읍 봉암리 1371-3,,,,,,0.27,1.5,,0,센트럴산단3로(2)_파주시,0,0.0358
센트럴산단3로(1),경기도,파주시,경기도 파주시 파주읍 봉암리 1372-3,,,,,,0.35,1.5,,0,센트럴산단3로(1)_파주시,0,0.036
센트럴산단2로(2),경기도,파주시,경기도 파주시 파주읍 봉암리 1364-1,,,,,,0.2,1.5,,0,센트럴산단2로(2)_파주시,0,0.0356
센트럴산단2로(1),경기도,파주시,경기도 파주시 파주읍 봉암리 1366,,,,,,0.34,1.5,,0,센트럴산단2로(1)_파주시,0,0.036
센트럴산단1로(3),경기도,파주시,경기도 파주시 파주읍 봉암리 1357-1,,,,,,0.18,1.5,,0,센트럴산단1로(3)_파주시,0,0.0355
센트럴산단1로(2),경기도,파주시,경기도 파주시 파주읍 봉암리 1361-5,,,,,,0.24,1.5,,0,센트럴산단1로(2)_파주시,0,0.0357
센트럴산단1로(1),경기도,파주시,경기도 파주시 파주읍 봉암리 1355-1,,,,,,1.19,1.5,,0,센트럴산단1로(1)_파주시,0,0.0385
서영로,경기도,파주시,경기도 파주시 문산읍 내포리 1623,,,,,,3.08,1.5,,0,서영로_파주시,0,0.0442
샘재로,경기도,파주시,경기도 파주시 법원읍 대능리 250-36,,,,,,0.64,1.5,,0,샘재로_파주시,0,0.0369
새꽃로(2),경기도,파주시,경기도 파주시 금촌동 992,,,,,,0.43,1.8,,0,새꽃로(2)_파주시,0,0.0433
새꽃로(1),경기도,파주시,경기도 파주시 금촌동 972,,,,,,0.38,1.8,,0,새꽃로(1)_파주시,0,0.0431
산내로,경기도,파주시,경기도 파주시 목동동 1010,,,,,,1.82,1.5,,0,산내로_파주시,0,0.0404
책향기로(1),경기도,파주시,경기도 파주시 동패동 1745-1,,,,,,1.88,2.0,,0,책향기로(1)_파주시,1,0.0523
직지길(2),경기도,파주시,경기도 파주시 문발동 541-2,,,,,,0.23,2.0,,0,직지길(2)_파주시,1,0.0473
직지길(1),경기도,파주시,경기도 파주시 문발동 541-2,,,,,,0.37,2.8,,0,직지길(1)_파주시,1,0.0664
주라위길(2),경기도,파주시,경기도 파주시 파주읍 봉암리 1351-6,,,,,,0.16,1.5,,0,주라위길(2)_파주시,0,0.0355
주라위길(1),경기도,파주시,경기도 파주시 파주읍 봉암리 1341,,,,,,0.15,1.5,,0,주라위길(1)_파주시,0,0.0354
적성산단로(3),경기도,파주시,경기도 파주시 적성면 가월리 1856-1,,,,,,1.08,1.5,,0,적성산단로(3)_파주시,0,0.0382
적성산단로(2),경기도,파주시,경기도 파주시 적성면 가월리 1851,,,,,,1.08,1.5,,0,적성산단로(2)_파주시,0,0.0382
적성산단로(1),경기도,파주시,경기도 파주시 적성면 가월리 1844-7,,,,,,2.79,1.5,,0,적성산단로(1)_파주시,0,0.0433
적성산단3로,경기도,파주시,경기도 파주시 적성면 가월리 1859-1,,,,,,0.98,1.5,,0,적성산단3로_파주시,0,0.0379
적성산단2로(2),경기도,파주시,경기도 파주시 적성면 가월리 1853-2,,,,,,0.77,1.5,,0,적성산단2로(2)_파주시,0,0.0373
적성산단2로(1),경기도,파주시,경기도 파주시 적성면 가월리 1853-3,,,,,,0.84,1.5,,0,적성산단2로(1)_파주시,0,0.0375
적성산단1로(3),경기도,파주시,경기도 파주시 적성면 가월리 272-5,,,,,,1.16,1.5,,0,적성산단1로(3)_파주시,0,0.0385
적성산단1로(2),경기도,파주시,경기도 파주시 적성면 가월리 1851-6,,,,,,0.85,1.5,,0,적성산단1로(2)_파주시,0,0.0375
적성산단1로(1),경기도,파주시,경기도 파주시 적성면 가월리 1851,,,,,,0.87,1.5,,0,적성산단1로(1)_파주시,0,0.0376
장자울길,경기도,파주시,경기도 파주시 다율동 596-1,,,,,,1.48,1.5,,0,장자울길_파주시,0,0.0394
운정호수공원,경기도,파주시,경기도 파주시 야당동 1038,,,,,,2.23,2.0,,0,운정호수공원_파주시,1,0.0533
운정중앙로,경기도,파주시,경기도 파주시 다율동 677,,,,,,1.44,1.5,,0,운정중앙로_파주시,0,0.0393
우계로,경기도,파주시,경기도 파주시 파주읍 향양리 290-19,,,,,,7.6,1.5,,0,우계로_파주시,0,0.0578
와석순환로,경기도,파주시,경기도 파주시 와동동 1393,,,,,,10.7,2.0,,0,와석순환로_파주시,1,0.0787
연풍로,경기도,파주시,경기도 파주시 파주읍 연풍리 437-1,,,,,,2.42,1.5,,0,연풍로_파주시,0,0.0422
엘지로,경기도,파주시,경기도 파주시 탄현면 낙하리 300-6,,,,,,5.86,1.5,,0,엘지로_파주시,0,0.0526
엘씨디로,경기도,파주시,경기도 파주시 월롱면 덕은리 772-41,,,,,,7.17,1.8,,0,엘씨디로_파주시,0,0.0635
얼음실로(2),경기도,파주시,경기도 파주시 탄현면 법흥리 1652,,,,,,0.11,1.5,,0,얼음실로(2)_파주시,0,0.0353
얼음실로(1),경기도,파주시,경기도 파주시 탄현면 법흥리 1652-69,,,,,,1.89,3.0,,0,얼음실로(1)_파주시,1,0.0756
양지안길,경기도,파주시,경기도 파주시 동패동 2155,,,,,,0.67,1.5,,0,양지안길_파주시,0,0.037
양지로,경기도,파주시,경기도 파주시 동패동 2159,,,,,,2.68,1.5,,0,양지로_파주시,0,0.043
약산로,경기도,파주시,경기도 파주시 탄현면 법흥리 1623,,,,,,2.09,1.8,,0,약산로_파주시,0,0.0482
아리랑로(2),경기도,파주시,경기도 파주시 금촌동 466-279,,,,,,0.08,1.5,,0,아리랑로(2)_파주시,0,0.0352
