start_lat,start_lon,end_lat,end_lon,length_km,width_m,road_type,is_official,is_wide_road,safety_index,tourist_count,cultural_count,leisure_count,facility_count,tourism_score,district_danger,road_attr_score,safety_score,final_score
37.61460565,127.0657239,37.60626414,127.0483266,1.6,1.5,,,0,0.0821,1,3,1,41,0.2046267553584627,0.253623188405797,0.12094598927052387,0.49657561540226924,0.37979607138474664
37.59472384,127.0381204,37.60370101,127.0401283,1.3,1.6,,,0,0.0883,4,4,0,17,0.2910716925351072,0.253623188405797,0.12921452540235537,0.49882366463958017,0.41572287579779094
37.60370101,127.0401283,37.59427959,127.0369007,1.3,1.6,,,0,0.0883,4,5,0,20,0.3209164818920917,0.253623188405797,0.12921452540235537,0.49882366463958017,0.4276607915405848
37.62046473,127.0491616,37.61898673,127.0465289,0.3,1.5,,,0,0.0765,1,1,1,2,0.08493717664449373,0.253623188405797,0.11010964584179367,0.4881413189517926,0.326859662028873
37.6182874,127.0465041,37.61666802,127.0490186,1.2,1.5,,,0,0.0804,1,1,1,1,0.08311899482631191,0.253623188405797,0.11761172975399149,0.49447515757816923,0.3299326924774263
37.61680428,127.0496098,37.62144228,127.0463268,0.9,1.5,,,0,0.0791,1,1,1,3,0.08675535846267554,0.253623188405797,0.11511103511659222,0.49350875998333976,0.3308073993750741
37.6182874,127.0465041,37.61927632,127.0448898,0.2,1.1,,,0,0.046,1,1,0,1,0.06685883222468589,0.253623188405797,0.06619915788573749,0.4742605967164921,0.3112998909197696
37.58304035,127.0291216,37.58596858,127.0294962,3.5,3.5,,,1,0.2408,2,6,0,10,0.24582409460458243,0.253623188405797,0.35216833735866804,0.5416902633035627,0.4233437958239706
37.58841771,127.018643,37.58998021,127.0162155,0.3,2.2,,,1,0.1292,4,5,0,11,0.30455284552845535,0.253623188405797,0.18549426122640905,0.5125161445059634,0.42933082491496016
37.59472384,127.0381204,37.59881357,127.0401781,0.81,1.5,,,0,0.0787,4,3,0,14,0.2612269031781227,0.253623188405797,0.11436082672537244,0.4929241583442724,0.4002452562778125
37.61460565,127.0657239,37.60814014,127.0667131,0.65,1.5,,,0,0.078,1,1,1,27,0.13039172209903918,0.253623188405797,0.11302712291875949,0.49115022110443796,0.3468468215022784
37.61175734,127.0296414,37.61175734,127.0296414,0.24,1.2,,,0,0.0537,0,0,0,1,0.0018181818181818182,0.253623188405797,0.0773018146066215,0.4784669009423597,0.28780741329268855
37.61232898,127.0290375,37.60935341,127.0249739,0.39,1.2,,,0,0.0543,2,0,0,2,0.08493717664449373,0.253623188405797,0.07855216192532113,0.4791725632713993,0.32147840862063704
37.60784662,127.0256314,37.61084536,127.0270183,0.46,1.2,,,0,0.0546,2,0,0,5,0.09039172209903919,0.253623188405797,0.0791356573407143,0.4794212743195463,0.3238094534313435
37.61178261,127.0238796,37.60784662,127.0256314,0.46,1.2,,,0,0.0546,2,0,0,6,0.092209903917221,0.253623188405797,0.0791356573407143,0.4794212743195463,0.3245367261586162
