contentid,contentTypeId,title,addr1,mapx,mapy,cat1,cat2,cat3
2733967,12,가회동성당,서울특별시 종로구 북촌로 57 (가회동),126.9846616856,37.5820858828,A02,A0201,A02010900
1116925,12,갈산공원,서울특별시 양천구 신정동 162-56,126.8684105358,37.5061176314,A02,A0202,A02020700
264570,12,강남,서울특별시 강남구 압구정로 161 (압구정동),127.0270732739,37.5268958352,A02,A0203,A02030400
2456536,12,강남 마이스 관광특구,서울특별시 강남구 영동대로 513 (삼성동),127.059217995,37.5119175967,A02,A0202,A02020200
128961,12,강변스파랜드,서울특별시 광진구 구의강변로 45 (구의동),127.0913227521,37.5349377239,A02,A0202,A02020400
809490,12,강서습지생태공원,서울특별시 강서구 양천로27길 279-23,126.8171490732,37.5860879769,A01,A0101,A01010500
3043735,12,강서역사문화거리,서울특별시 강서구 양천로 291 (마곡동),126.8366643489,37.5722343802,A02,A0203,A02030600
2591792,12,개봉유수지 생태공원,서울특별시 구로구 개봉동,126.8632141714,37.4924524597,A02,A0202,A02020700
2733966,12,거리공원,서울특별시 구로구 구로동,126.8916141621,37.4995521419,A02,A0202,A02020700
2758868,12,거북선나루터,서울특별시 용산구 이촌동 302-183,126.9676539295,37.5182707714,A01,A0101,A01011800
1604652,12,건청궁,서울특별시 종로구 사직로 161 (세종로),126.9767375783,37.5760836609,A02,A0201,A02010700
294505,12,경국사(서울),서울특별시 성북구 보국문로 113-10 (정릉동),127.0056310926,37.6139242251,A02,A0201,A02010800
2930839,12,경리단길,서울특별시 용산구 이태원동,126.987515439,37.538452116,A02,A0203,A02030400
126508,12,경복궁,서울특별시 종로구 사직로 161 (세종로),126.9767375783,37.5760836609,A02,A0201,A02010100
2373204,12,경성 부민관 폭탄 의거지,서울특별시 중구 세종대로 125 (태평로1가),126.9768017026,37.5675596526,A02,A0201,A02010700
2500229,12,경의선책거리,서울특별시 마포구 와우산로37길 35,126.9290369242,37.5564989709,A02,A0203,A02030600
1826438,12,경찰혼,서울특별시 영등포구 국회대로 608 (당산동3가),126.9015402823,37.5262992108,A02,A0205,A02050200
