contentid,contenttypeid,name,address,addr2,lon,lat,cat1,cat2,cat3,image_url,tel,sub_category,sido,source
2871024,39,가나돈까스의집,서울특별시 강남구 언주로 608,,127.0377755568,37.5099674377,A05,A0502,A05020100,http://tong.visitkorea.or.kr/cms/resource/08/2871008_image2_1.JPG,,한식,서울특별시,tourapi_food
2869760,39,가담,서울특별시 강남구 언주로167길 35 (신사동),,127.0302729961,37.5264209476,A05,A0502,A05020400,http://tong.visitkorea.or.kr/cms/resource/53/2869753_image2_1.jpg,,중식,서울특별시,tourapi_food
2849631,39,가막골흑염소요리전문점,서울특별시 강서구 화곡로56길 37-11,,126.8518857611,37.5516842628,A05,A0502,A05020100,http://tong.visitkorea.or.kr/cms/resource/29/2849629_image2_1.jpg,,한식,서울특별시,tourapi_food
1052741,39,가문,서울특별시 강북구 노해로 13,,127.0226983297,37.6368246468,A05,A0502,A05020400,,02-990-0107,중식,서울특별시,tourapi_food
2836567,39,가산물갈비&백년불고기,서울특별시 금천구 가산디지털1로 128 에스티엑스브이타워,110호,126.8837682791,37.4773045854,A05,A0502,A05020100,http://tong.visitkorea.or.kr/cms/resource/60/2836560_image2_1.jpg,,한식,서울특별시,tourapi_food
2873184,39,가야밀냉면해물칼국수,서울특별시 은평구 대서문길 36 (진관동),,126.948537895,37.6555794652,A05,A0502,A05020100,http://tong.visitkorea.or.kr/cms/resource/70/2873170_image2_1.jpg,,한식,서울특별시,tourapi_food
2850213,39,가양칼국수버섯매운탕,서울특별시 영등포구 국제금융로 78 (여의도동),,126.9313127207,37.5209253677,A05,A0502,A05020100,http://tong.visitkorea.or.kr/cms/resource/00/2850200_image2_1.jpg,,한식,서울특별시,tourapi_food
2901229,39,가조쿠,서울특별시 성동구 연무장길 31-2 (성수동2가),,127.0531343258,37.5432832891,A05,A0502,A05020300,http://tong.visitkorea.or.kr/cms/resource/12/2901212_image2_1.jpg,,일식,서울특별시,tourapi_food
2854328,39,가족천하 본점,서울특별시 영등포구 가마산로 330 (대림동),,126.8963415265,37.4989023017,A05,A0502,A05020100,,,한식,서울특별시,tourapi_food
2853860,39,각시보쌈,서울특별시 마포구 성지길 25 보광빌딩,,126.9134774828,37.5475858397,A05,A0502,A05020100,http://tong.visitkorea.or.kr/cms/resource/51/2853851_image2_1.jpg,,한식,서울특별시,tourapi_food
2836651,39,갈비명가이상 돈암본관,서울특별시 성북구 정릉로 364,,127.0236686891,37.6015259912,A05,A0502,A05020100,http://tong.visitkorea.or.kr/cms/resource/42/2836642_image2_1.jpg,,한식,서울특별시,tourapi_food
2860770,39,갈비사랑,서울특별시 서초구 강남대로 204 (양재동),,127.0367458713,37.482531716,A05,A0502,A05020100,http://tong.visitkorea.or.kr/cms/resource/58/2860758_image2_1.jpg,,한식,서울특별시,tourapi_food
2875276,39,갈현동할머니떡볶이,서울특별시 은평구 통일로87길 8-1 (갈현동),,126.9187804084,37.6235354372,A05,A0502,A05020100,http://tong.visitkorea.or.kr/cms/resource/67/2875267_image2_1.jpg,,한식,서울특별시,tourapi_food
2622715,39,감꽃당,서울특별시 종로구 돈화문로11다길 38,,126.9900725369,37.5738480486,A05,A0502,A05020900,http://tong.visitkorea.or.kr/cms/resource/24/2622724_image2_1.jpg,02-747-3999,카페·디저트,서울특별시,tourapi_food
2843816,39,감나무집기사식당,서울특별시 마포구 연남로 25 (연남동),,126.9219151974,37.561950988,A05,A0502,A05020100,http://tong.visitkorea.or.kr/cms/resource/14/2843814_image2_1.jpg,,한식,서울특별시,tourapi_food
2833002,39,감동식당,서울특별시 노원구 한글비석로47길 58,1층,127.0665963946,37.6617086556,A05,A0502,A05020100,http://tong.visitkorea.or.kr/cms/resource/94/2832994_image2_1.jpg,,한식,서울특별시,tourapi_food
2851590,39,값진식육,서울특별시 영등포구 선유로 58-4 (문래동3가),,126.8896998979,37.5190803938,A05,A0502,A05020100,http://tong.visitkorea.or.kr/cms/resource/81/2851581_image2_1.jpg,,한식,서울특별시,tourapi_food
2869782,39,갓포아키 도산공원점,서울특별시 강남구 도산대로45길 8-3 쿠키빌딩,,127.0362419924,37.5230742215,A05,A0502,A05020300,http://tong.visitkorea.or.kr/cms/resource/72/2869772_image2_1.jpg,,일식,서울특별시,tourapi_food
2869794,39,갓포준 x 에스테반,서울특별시 강남구 논현로163길 10 (신사동),,127.0273372138,37.52425448,A05,A0502,A05020300,http://tong.visitkorea.or.kr/cms/resource/90/2869790_image2_1.jpg,,일식,서울특별시,tourapi_food
135136,39,강강술래 신림동,서울특별시 관악구 남부순환로 1660,,126.9350272959,37.4845518811,A05,A0502,A05020100,,,한식,서울특별시,tourapi_food
1756249,39,강남목장,서울특별시 강남구 논현로86길 34,,127.0402783799,37.5003213806,A05,A0502,A05020100,,02-562-7003,한식,서울특별시,tourapi_food
2871478,39,강남진해장,서울특별시 강남구 테헤란로5길 11 (역삼동),,127.0292766253,37.4995434958,A05,A0502,A05020100,http://tong.visitkorea.or.kr/cms/resource/61/2871461_image2_1.jpg,,한식,서울특별시,tourapi_food
2839494,39,강동반상,서울특별시 강동구 상일로6길 39 강동타워,지하 1층,127.1753646796,37.5498569527,A05,A0502,A05020100,http://tong.visitkorea.or.kr/cms/resource/86/2839486_image2_1.jpg,,한식,서울특별시,tourapi_food
2839510,39,강동해물찜해천탕,서울특별시 강동구 양재대로 1416,,127.1385935255,37.5323083258,A05,A0502,A05020100,http://tong.visitkorea.or.kr/cms/resource/99/2839499_image2_1.jpg,,한식,서울특별시,tourapi_food
2900328,39,강수사,서울특별시 서대문구 연희로 157 (연희동),,126.9342193638,37.5714167743,A05,A0502,A05020300,http://tong.visitkorea.or.kr/cms/resource/18/2900318_image2_1.jpg,,일식,서울특별시,tourapi_food
2847165,39,강촌쌈밥,서울특별시 종로구 평창30길 9,,126.9747812177,37.610762927,A05,A0502,A05020100,http://tong.visitkorea.or.kr/cms/resource/54/2847154_image2_1.jpg,,한식,서울특별시,tourapi_food
2848108,39,개뿔,서울특별시 종로구 낙산성곽서1길 26 (이화동),,127.0080624399,37.5782311958,A05,A0502,A05020900,http://tong.visitkorea.or.kr/cms/resource/05/2848105_image2_1.jpg,,카페·디저트,서울특별시,tourapi_food
398373,39,개성만두 궁,서울특별시 종로구 인사동10길 11-3 (관훈동),,126.9854257249,37.5743229103,A05,A0502,A05020100,,02-733-9240,한식,서울특별시,tourapi_food
134746,39,개화,서울특별시 중구 남대문로 52-5 (명동2가),,126.9818402861,37.5621214856,A05,A0502,A05020400,http://tong.visitkorea.or.kr/cms/resource/96/3474896_image2_1.jpg,02-776-0508,중식,서울특별시,tourapi_food
2849647,39,개화산장,서울특별시 강서구 개화동로19길 6-53 (방화동),,126.8039700643,37.573861386,A05,A0502,A05020100,http://tong.visitkorea.or.kr/cms/resource/40/2849640_image2_1.jpg,,한식,서울특별시,tourapi_food
2663444,39,거창 왕돈까스,서울특별시 영등포구 국제금융로6길 30 (여의도동),,126.9266186801,37.521775185,A05,A0502,A05020100,http://tong.visitkorea.or.kr/cms/resource/45/2663445_image2_1.jpg,,한식,서울특별시,tourapi_food
2789203,39,경동함흥냉면,서울특별시 동대문구 고산자로38길 19,(제기동),127.0396456189,37.5801509845,A05,A0502,A05020100,http://tong.visitkorea.or.kr/cms/resource/42/2789742_image2_1.jpg,,한식,서울특별시,tourapi_food
2875315,39,경복식당,"서울특별시 노원구 공릉로39길 10 (공릉동, 대아아파트)",,127.0788741361,37.6237632891,A05,A0502,A05020100,http://tong.visitkorea.or.kr/cms/resource/04/2875304_image2_1.jpg,,한식,서울특별시,tourapi_food
2855743,39,경천애인2237,서울특별시 강남구 테헤란로 421 (삼성동),3층,127.0525465458,37.5060431587,A05,A0502,A05020100,http://tong.visitkorea.or.kr/cms/resource/27/2855727_image2_1.jpg,,한식,서울특별시,tourapi_food
2842443,39,경회루,서울특별시 노원구 동일로 1005 (공릉동),,127.0745301956,37.6199803173,A05,A0502,A05020100,http://tong.visitkorea.or.kr/cms/resource/38/2842438_image2_1.jpg,,한식,서울특별시,tourapi_food
2367770,39,계림식당,서울특별시 종로구 돈화문로4길 39,,126.9945027934,37.5701624455,A05,A0502,A05020100,http://tong.visitkorea.or.kr/cms/resource/71/2367771_image2_1.jpg,02-2263-6658,한식,서울특별시,tourapi_food
2895161,39,계월,서울특별시 성동구 성덕정3길 8 (성수동1가),,127.0476515952,37.5396169495,A05,A0502,A05020100,http://tong.visitkorea.or.kr/cms/resource/44/2895144_image2_1.JPG,,한식,서울특별시,tourapi_food
2901359,39,계자람,서울특별시 성동구 성덕정17길 5 (성수동2가),,127.0551704068,37.5378061841,A05,A0502,A05020100,http://tong.visitkorea.or.kr/cms/resource/51/2901351_image2_1.jpg,,한식,서울특별시,tourapi_food
2901371,39,고기다,서울특별시 성동구 성수일로12길 20 (성수동2가),,127.053264729,37.5482271614,A05,A0502,A05020100,http://tong.visitkorea.or.kr/cms/resource/65/2901365_image2_1.jpg,,한식,서울특별시,tourapi_food
3551926,39,고깃집열,서울특별시 서초구 서초대로78길 48 (서초동),,127.0286212989,37.4935414029,A05,A0502,A05020100,http://tong.visitkorea.or.kr/cms/resource/93/3587093_image2_1.jpg,,한식,서울특별시,tourapi_food
2844673,39,고도식,서울특별시 송파구 백제고분로45길 28 (송파동),,127.1086829802,37.5104019962,A05,A0502,A05020100,http://tong.visitkorea.or.kr/cms/resource/70/2844670_image2_1.jpg,,한식,서울특별시,tourapi_food
2823949,39,고두리 용산점,서울특별시 용산구 한강대로39길 10,,126.9686007095,37.5308748789,A05,A0502,A05020100,,,한식,서울특별시,tourapi_food
3359119,39,고라니커피클럽,서울특별시 용산구 한강대로 262 (남영동),,126.9732138716,37.5417237015,A05,A0502,A05020900,,,카페·디저트,서울특별시,tourapi_food
