TRAVEL_ID,VISIT_ORDER,VISIT_AREA_NM,poi_idx
e_e000004,1,집,21
e_e000004,2,<UNK>,0
e_e000004,3,<UNK>,0
e_e000004,4,<UNK>,0
e_e000004,5,집,21
e_e000006,1,집,21
e_e000006,2,<UNK>,0
e_e000006,3,<UNK>,0
e_e000006,4,<UNK>,0
e_e000006,5,<UNK>,0
e_e000006,6,<UNK>,0
e_e000006,7,<UNK>,0
e_e000006,8,<UNK>,0
e_e000006,9,<UNK>,0
e_e000006,10,<UNK>,0
e_e000006,11,집,21
e_e000009,1,친구 친지 집,24
e_e000009,2,<UNK>,0
e_e000009,3,<UNK>,0
e_e000009,4,<UNK>,0
e_e000009,5,<UNK>,0
e_e000009,6,<UNK>,0
e_e000009,7,<UNK>,0
e_e000009,8,<UNK>,0
e_e000009,9,<UNK>,0
e_e000009,10,<UNK>,0
e_e000009,11,<UNK>,0
e_e000009,12,<UNK>,0
e_e000010,1,집,21
e_e000010,2,<UNK>,0
e_e000010,3,<UNK>,0
e_e000010,4,<UNK>,0
e_e000010,5,<UNK>,0
e_e000010,6,<UNK>,0
e_e000010,7,<UNK>,0
e_e000010,8,<UNK>,0
e_e000010,9,<UNK>,0
e_e000010,10,친구 집,23
e_e000010,11,<UNK>,0
e_e000010,12,<UNK>,0
e_e000010,13,<UNK>,0
e_e000010,14,서울고속버스터미널(경부),9
e_e000010,15,집,21
e_e000011,1,사무실,8
e_e000011,2,<UNK>,0
e_e000011,3,<UNK>,0
e_e000011,4,<UNK>,0
e_e000011,5,<UNK>,0
e_e000011,6,<UNK>,0
e_e000011,7,<UNK>,0
e_e000011,8,<UNK>,0
e_e000011,9,<UNK>,0
e_e000011,10,<UNK>,0
e_e000011,11,<UNK>,0
e_e000011,12,<UNK>,0
e_e000011,13,<UNK>,0
e_e000011,14,<UNK>,0
e_e000013,1,집,21
e_e000013,2,<UNK>,0
e_e000013,3,<UNK>,0
e_e000013,4,<UNK>,0
e_e000013,5,<UNK>,0
e_e000013,6,<UNK>,0
e_e000013,7,<UNK>,0
e_e000013,8,집,21
e_e000014,1,집,21
e_e000014,2,에버랜드,18
e_e000014,3,집,21
e_e000015,1,집,21
e_e000015,2,<UNK>,0
e_e000015,3,<UNK>,0
e_e000015,4,<UNK>,0
e_e000015,5,<UNK>,0
e_e000015,6,<UNK>,0
e_e000015,7,<UNK>,0
e_e000015,8,<UNK>,0
e_e000015,9,<UNK>,0
e_e000015,10,<UNK>,0
e_e000015,11,<UNK>,0
e_e000015,12,<UNK>,0
e_e000015,13,<UNK>,0
e_e000015,14,<UNK>,0
e_e000015,15,<UNK>,0
e_e000015,16,<UNK>,0
e_e000015,17,<UNK>,0
e_e000015,18,<UNK>,0
e_e000015,19,<UNK>,0
e_e000015,20,<UNK>,0
e_e000015,21,<UNK>,0
e_e000015,22,<UNK>,0
e_e000015,23,센트럴시티터미널(호남),12
e_e000015,24,집,21
e_e000016,1,집,21
e_e000016,2,<UNK>,0
e_e000016,3,<UNK>,0
e_e000016,4,집,21
