sido,sigungu,crash_count,death_count,severe_count,injury_count,danger_score
강원,강릉시,7.0,1.0,6.0,0.0,0.0051
강원,속초시,23.0,0.0,23.0,0.0,0.0177
강원,원주시,35.0,0.0,32.0,5.0,0.0275
강원,춘천시,43.0,1.0,33.0,8.0,0.0326
강원도,강릉시,28.0,0.0,6.0,22.0,0.0157
강원도,동해시,4.0,0.0,4.0,0.0,0.0017
강원도,삼척시,17.0,0.0,3.0,13.0,0.0084
강원도,속초시,18.0,1.0,10.0,8.0,0.0126
강원도,양양군,7.0,0.0,8.0,0.0,0.0048
강원도,원주시,98.0,4.0,45.0,42.0,0.0685
강원도,춘천시,87.0,3.0,38.0,50.0,0.0624
강원도,홍천군,11.0,1.0,7.0,3.0,0.0076
경기,가평군,4.0,0.0,1.0,3.0,0.0008
경기,고양시 덕양구,89.0,2.0,86.0,2.0,0.075
경기,고양시 일산동구,43.0,1.0,38.0,3.0,0.034
경기,고양시 일산서구,36.0,1.0,25.0,7.0,0.0258
경기,광명시,125.0,3.0,116.0,11.0,0.1059
경기,광주시,66.0,4.0,68.0,2.0,0.0612
경기,구리시,60.0,3.0,53.0,7.0,0.0511
경기,군포시,33.0,1.0,29.0,2.0,0.0258
경기,김포시,69.0,0.0,53.0,17.0,0.0522
경기,남양주시,81.0,5.0,75.0,6.0,0.0719
경기,동두천시,9.0,0.0,2.0,5.0,0.0034
경기,부천시,121.0,10.0,112.0,3.0,0.1101
경기,부천시 소사구,72.0,8.0,59.0,6.0,0.0646
경기,부천시 오정구,48.0,0.0,45.0,3.0,0.0379
경기,부천시 원미구,184.0,3.0,84.0,91.0,0.127
경기,성남시 분당구,14.0,0.0,17.0,1.0,0.0121
경기,성남시 수정구,174.0,2.0,178.0,4.0,0.1511
경기,성남시 중원구,127.0,8.0,118.0,3.0,0.1124
경기,수원시 권선구,26.0,0.0,18.0,7.0,0.0177
경기,수원시 영통구,22.0,0.0,18.0,3.0,0.0154
경기,수원시 장안구,53.0,0.0,40.0,9.0,0.0382
경기,수원시 팔달구,234.0,6.0,203.0,32.0,0.1955
