visit_area_nm,x_coord,y_coord,attraction_score_mean,attraction_score_std,visit_count,attraction_score_norm
(주) 중앙 스포츠,127.1682591,37.3565923,4.4581,0.0,1,0.7541
1059-3 Coffee House,127.0218714,37.2547019,4.2477,0.1522,3,0.6586
11번지 남산 돈가스 종로타워점,126.9837902,37.5708074,3.8856,0.0,1,0.4943
12st 카페,126.889683,37.4779105,3.8213,0.0,1,0.4651
12인치,127.0158056,37.2855851,4.2411,0.0,1,0.6556
13월의 태양,126.9930399,37.4329995,4.0122,0.0,1,0.5517
143베이커리 커피숍,127.0164493,37.2796364,4.1792,0.0,1,0.6275
157,126.995444,37.5673171,4.4306,0.0,1,0.7416
18장마라탕 광교점,127.0494889,37.2918218,4.0596,0.0,1,0.5732
18커피 로프터스,127.1516331,37.3825355,4.0311,0.2649,2,0.5603
1979라이브 펍 2호점,126.9676477,37.5306646,4.6476,0.0,1,0.8401
1프로 PC 아레나 영통,127.0752965,37.2529508,3.8232,0.0,1,0.466
21아울렛 구로점,126.8626993,37.4980135,4.1051,0.1863,2,0.5939
2461커피 스테이션,127.4457345,37.5114399,3.7804,0.0,1,0.4465
24시 오아시스 찜질방,126.7405409,37.3520268,4.2426,0.0,1,0.6563
24시 전주 명가 콩나물국밥 진접점,127.2024333,37.7200665,4.0818,0.0,1,0.5833
27피트 파주 본점,126.7958964,37.7372686,4.291,0.0,1,0.6783
29CM SEONGSU,127.0526184,37.545249,4.1589,0.0508,2,0.6183
2리 식당,126.785186,37.669572,4.4188,0.0,1,0.7363
3.1운동기념터 보신각 앞,126.9836773,37.5697623,4.1241,0.0,1,0.6025
316커피바,126.8879575,37.5257901,4.1709,0.0,1,0.6237
32파르페,126.9216755,37.5528077,4.1497,0.0,1,0.6141
365할인마트 청평점,127.4230711,37.7405494,3.9721,0.0,1,0.5335
37 그릴 바,126.9267293,37.5253845,4.3709,0.0,1,0.7145
3S 호텔 소래점,126.7364199,37.3995484,4.1266,0.3112,2,0.6036
3대째 할머니네 집,126.5753936,37.2871907,4.2637,0.0,1,0.6659
3일 왕소금 구이,127.0542975,37.8929879,4.2772,0.0,1,0.672
3일 한우국밥 홍대 입구점,126.9203615,37.553933,4.0326,0.0,1,0.561
4233마음센터,126.9215725,37.5582082,4.3629,0.0,1,0.7109
515더 오리지널,126.6958446,37.7144674,4.2123,0.0,1,0.6425
57th카페,126.9826207,37.5764457,3.9138,0.0,1,0.5071
5TO7,127.0433219,37.5460826,4.2102,0.0678,2,0.6416
60계 경리단길점,126.9944602,37.5402556,3.9367,0.0,1,0.5174
63스퀘어,126.9402616,37.5198149,4.4163,0.1859,4,0.7351
63아트,126.9399144,37.5196642,4.7403,0.0,1,0.8821
731돈가스,127.1879169,37.4762764,4.2578,0.0,1,0.6632
814바비큐,126.7343515,37.346852,4.2097,0.0,1,0.6413
88당 베이커리,127.2356992,37.5417918,4.2308,0.0,1,0.6509
88배드민턴클럽,127.026546,37.2610623,4.3771,0.0,1,0.7173
8번가,127.0519838,37.5927903,4.1198,0.0,1,0.6006
8빙수,126.6378866,37.3947096,4.0366,0.0,1,0.5628
8요일 키친,127.1587423,37.8451437,4.4885,0.0,1,0.7679
955카페,127.0360751,37.2633087,4.0978,0.0,1,0.5906
97도씨 해물칼국수 영종 본점,126.578651,37.4950984,4.1626,0.2154,3,0.62
A 플러스 호텔,126.7561813,37.4902327,3.9263,0.0,1,0.5128
AB 요트,126.621932,37.1778179,4.135,0.0,1,0.6075
ABC마트 GS 명동중앙점,126.984454,37.5631554,4.1964,0.0,1,0.6353
ABC마트 GS 송도 트리플 스트리트점,126.6601184,37.3804008,3.8591,0.0,1,0.4822
AC 호텔 바이 메리어트 서울 강남,127.0354203,37.501237,4.1708,0.2661,8,0.6237
AK 푸드홀,127.0006764,37.265447,3.875,0.061,2,0.4894
AK& 기흥,127.1167124,37.2745152,4.3935,0.0271,2,0.7248
AK플라자 광명,126.8828338,37.4186632,4.4035,0.164,4,0.7293
AK플라자 금정,126.9441887,37.3727578,4.0904,0.2502,2,0.5872
AK플라자 분당,127.12318120000002,37.3852355,4.179,0.2052,6,0.6274
AK플라자 수원,127.00069,37.2655524,4.1914,0.2428,17,0.633
AK플라자 수원 AK 갤러리,127.0006539,37.2655614,3.7237,0.0,1,0.4208
AK플라자 평택,127.0855295,36.9912561,4.3349,0.0,1,0.6982
AK플라자 홍대,126.92640779999999,37.5578085,4.274,0.1732,17,0.6705
ARABICA 스타필드 코엑스몰점,127.0595695,37.5113169,4.3163,0.0,1,0.6897
ARE COFFEE,127.0093826,37.288024,4.2985,0.0,1,0.6816
AW 컨벤션,126.8287898,37.3081288,4.3998,0.0066,2,0.7276
Apple 가로수길,127.0227294,37.5208198,3.9506,0.1537,3,0.5238
Apple 강남,127.0253107,37.5036903,3.9541,0.2992,2,0.5253
BC카드 본사,126.9970175,37.5662206,4.4653,0.0,1,0.7574
BHC치킨 창동아이파크점,127.0418644,37.659234,4.4162,0.0,1,0.7351
BMW 드라이빙 센터,126.4870497,37.4619875,4.3566,0.1497,3,0.708
BMW 한독모터스 서초전시장,127.0105879,37.4869302,4.3785,0.0,1,0.718
C27,127.0464371,37.7371766,4.1858,0.0,1,0.6305
C27 다운타운,126.4189071,37.4278953,4.2145,0.0,1,0.6435
CF 모텔,127.0422962,37.5012563,3.8637,0.0,1,0.4843
CGV 강변,127.0956557,37.5354056,4.2529,0.0,1,0.661
CGV 광교,127.0574608,37.2854244,4.3226,0.0,1,0.6926
CGV 김포 운양,126.684126,37.6547128,4.5828,0.0,1,0.8107
CGV 남양주 화도 점,127.2956745,37.6493899,3.6108,0.0,1,0.3695
CGV 다산,127.1517116,37.6125801,4.2828,0.0,1,0.6745
CGV 동수원,127.03231,37.2639063,4.1585,0.0,1,0.6181
CGV 동탄,127.069414,37.2053098,4.6315,0.0,1,0.8328
CGV 방학,127.0436359,37.6653862,4.1233,0.0,1,0.6022
CGV 불광,126.9291815,37.6094705,4.5211,0.0,1,0.7827
CGV 상봉,127.0921636,37.5974825,4.3931,0.0,1,0.7246
CGV 서현,127.1224615,37.3871059,4.2418,0.0,1,0.6559
CGV 소풍,126.7571136,37.5047335,4.2021,0.0,2,0.6379
CGV 송도 타임스페이스,126.6423686,37.3831101,4.6063,0.0,1,0.8213
CGV 스타필드 시티 위례,127.1483974,37.4800367,4.2653,0.0,1,0.6666
CGV 신촌 아트레온,126.9401982,37.5566387,4.4412,0.0,1,0.7464
