start_lat,start_lon,end_lat,end_lon,length_km,width_m,road_type,is_official,is_wide_road,safety_index
,,,,2.32,2.0,,,1,0.1228
,,,,0.25,1.5,,,0,0.0763
,,,,0.83,1.5,,,0,0.0788
,,,,1.28,1.8,,,0,0.1033
,,,,1.08,1.5,,,0,0.0799
,,,,0.27,1.8,,,0,0.099
,,,,0.11,3.5,,,1,0.2262
,,,,0.21,1.5,,,0,0.0761
,,,,1.47,1.5,,,0,0.0815
,,,,4.62,2.0,,,1,0.1327
,,,,0.74,1.6,,,0,0.0859
,,,,0.66,1.0,,,0,0.0404
,,,,0.31,1.5,,,0,0.0766
,,,,2.39,1.5,,,0,0.0855
,,,,0.15,2.0,,,1,0.1135
,,,,0.75,2.0,,,1,0.1161
,,,,0.72,2.0,,,1,0.116
,,,,0.96,1.5,,,0,0.0794
,,,,1.83,1.5,,,0,0.0831
,,,,2.91,1.8,,,0,0.1103
,,,,5.0,2.0,,,1,0.1344
,,,,3.93,2.0,,,1,0.1298
,,,,0.87,2.0,,,1,0.1166
,,,,1.42,2.8,,,1,0.1792
,,,,1.06,1.5,,,0,0.0798
,,,,0.13,1.5,,,0,0.0758
,,,,0.83,1.5,,,0,0.0788
,,,,0.27,1.5,,,0,0.0764
,,,,0.35,1.5,,,0,0.0767
,,,,0.2,1.5,,,0,0.0761
,,,,0.34,1.5,,,0,0.0767
,,,,0.18,1.5,,,0,0.076
,,,,0.24,1.5,,,0,0.0763
,,,,1.19,1.5,,,0,0.0803
,,,,3.08,1.5,,,0,0.0885
,,,,0.64,1.5,,,0,0.078
,,,,0.43,1.8,,,0,0.0997
,,,,0.38,1.8,,,0,0.0994
,,,,1.82,1.5,,,0,0.083
,,,,1.88,2.0,,,1,0.1209
,,,,0.23,2.0,,,1,0.1138
,,,,0.37,2.8,,,1,0.1747
,,,,0.16,1.5,,,0,0.0759
,,,,0.15,1.5,,,0,0.0759
,,,,1.08,1.5,,,0,0.0799
,,,,1.08,1.5,,,0,0.0799
,,,,2.79,1.5,,,0,0.0872
,,,,0.98,1.5,,,0,0.0794
,,,,0.77,1.5,,,0,0.0785
,,,,0.84,1.5,,,0,0.0788
,,,,1.16,1.5,,,0,0.0802
,,,,0.85,1.5,,,0,0.0789
,,,,0.87,1.5,,,0,0.079
,,,,1.48,1.5,,,0,0.0816
,,,,2.23,2.0,,,1,0.1224
,,,,1.44,1.5,,,0,0.0814
,,,,7.6,1.5,,,0,0.1079
,,,,10.7,2.0,,,1,0.1589
,,,,2.42,1.5,,,0,0.0856
,,,,5.86,1.5,,,0,0.1004
,,,,7.17,1.8,,,0,0.1286
,,,,0.11,1.5,,,0,0.0757
,,,,1.89,3.0,,,1,0.1963
,,,,0.67,1.5,,,0,0.0781
,,,,2.68,1.5,,,0,0.0867
,,,,2.09,1.8,,,0,0.1068
,,,,0.08,1.5,,,0,0.0756
,,,,0.42,1.5,,,0,0.077
,,,,3.48,1.5,,,0,0.0902
,,,,3.74,1.5,,,0,0.0913
,,,,2.52,1.5,,,0,0.0861
,,,,0.18,1.2,,,0,0.0534
,,,,1.57,1.5,,,0,0.082
,,,,0.28,1.5,,,0,0.0764
,,,,1.24,3.0,,,1,0.1935
,,,,1.06,2.4,,,1,0.1475
,,,,0.63,2.0,,,1,0.1156
,,,,0.68,1.5,,,0,0.0781
,,,,0.49,1.5,,,0,0.0773
,,,,0.91,2.0,,,1,0.1168
,,,,0.9,3.0,,,1,0.192
