"자치구별(1)",자치구별(2),2024,2024,2024,2024,2024,2024
"자치구별(1)",자치구별(2),자전거 가해운전자 교통사고,자전거 가해운전자 교통사고,자전거 가해운전자 교통사고,자전거 피해운전자 교통사고,자전거 피해운전자 교통사고,자전거 피해운전자 교통사고
"자치구별(1)",자치구별(2),발생건수 (건),사망자수 (명),부상자수 (명),발생건수 (건),사망자수 (명),부상자수 (명)
"합계",소계,1670,11,1845,1488,10,1601
"합계",종로구,21,-,21,18,-,18
"합계",중구,21,-,24,17,-,18
"합계",용산구,33,-,35,23,1,24
"합계",성동구,40,-,41,53,-,55
"합계",광진구,45,1,51,48,-,49
"합계",동대문구,108,-,117,80,1,84
"합계",중랑구,87,1,97,68,1,73
"합계",성북구,48,1,51,36,-,37
"합계",강북구,43,-,44,32,1,33
"합계",도봉구,47,-,52,32,-,34
"합계",노원구,94,-,105,88,-,96
"합계",은평구,61,-,69,71,1,76
"합계",서대문구,24,-,27,20,1,21
"합계",마포구,56,1,60,45,-,49
"합계",양천구,73,1,83,74,-,82
"합계",강서구,82,1,92,82,-,90
"합계",구로구,81,-,88,58,-,64
"합계",금천구,38,2,42,26,-,29
"합계",영등포구,171,-,193,106,1,120
"합계",동작구,38,-,39,32,-,33
"합계",관악구,37,1,40,30,-,32
"합계",서초구,39,-,45,40,-,43
"합계",강남구,117,-,132,100,1,109
"합계",송파구,186,1,210,196,2,213
"합계",강동구,80,1,87,113,-,119
