route_name,sido,sigungu,start_addr_jibun,start_addr_road,start_lat,start_lon,end_lat,end_lon,length_km,road_id,width_m,is_wide_road,safety_index
사임당로(2),경기도,파주시,경기도 파주시 문산읍 선유리 668-3,,,,,,2.32,사임당로(2)_파주시,,0,
사임당로(1),경기도,파주시,경기도 파주시 문산읍 선유리 1358,,,,,,0.25,사임당로(1)_파주시,,0,
별하람로,경기도,파주시,경기도 파주시 와동동 802,,,,,,0.83,별하람로_파주시,,0,
법흥로,경기도,파주시,경기도 파주시 탄현면 법흥리 1759,,,,,,1.28,법흥로_파주시,,0,
범벅들길,경기도,파주시,경기도 파주시 다율동 1024,,,,,,1.08,범벅들길_파주시,,0,
번영로,경기도,파주시,경기도 파주시 금촌동 972,,,,,,0.27,번영로_파주시,,0,
방촌로(4),경기도,파주시,경기도 파주시 문산읍 당동리 930-3,,,,,,0.11,방촌로(4)_파주시,,0,
방촌로(3),경기도,파주시,경기도 파주시 문산읍 당동리 899-6,,,,,,0.21,방촌로(3)_파주시,,0,
방촌로(2),경기도,파주시,경기도 파주시 문산읍 당동리 53-4,,,,,,1.47,방촌로(2)_파주시,,0,
심학산로(2),경기도,파주시,경기도 파주시 목동동 1141,,,,,,4.62,심학산로(2)_파주시,,0,
심학산로(1),경기도,파주시,경기도 파주시 문발동 644,,,,,,0.74,심학산로(1)_파주시,,0,
신문산교서측도로,경기도,파주시,경기도 파주시 문산읍 내포리 1443-2,,,,,,0.66,신문산교서측도로_파주시,,0,
시청로,경기도,파주시,경기도 파주시 아동동 897,,,,,,0.31,시청로_파주시,,0,
숲속노을로(4),경기도,파주시,경기도 파주시 동패동 563-4,,,,,,2.39,숲속노을로(4)_파주시,,0,
숲속노을로(3),경기도,파주시,경기도 파주시 동패동 1744,,,,,,0.15,숲속노을로(3)_파주시,,0,
숲속노을로(2),경기도,파주시,경기도 파주시 동패동 1745-1,,,,,,0.75,숲속노을로(2)_파주시,,0,
숲속노을로(1),경기도,파주시,경기도 파주시 문발동 542-4,,,,,,0.72,숲속노을로(1)_파주시,,0,
술이홀로(3),경기도,파주시,경기도 파주시 파주읍 연풍리 482-8,,,,,,0.96,술이홀로(3)_파주시,,0,
술이홀로(2),경기도,파주시,경기도 파주시 파주읍 파주리 711-1,,,,,,1.83,술이홀로(2)_파주시,,0,
쇠재로,경기도,파주시,경기도 파주시 금촌동 978-36,,,,,,2.91,쇠재로_파주시,,0,
