노선명,노선번호,시도명,시군구명,기점도로명주소,기점지번주소,종점도로명주소,종점지번주소,기점위도,기점경도,종점위도,종점경도,주요경유지,총길이(km),일반도로너비(m),자전거도로너비(m),자전거도로종류,자전거도로고시유무,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
화랑로,,서울특별시,성북구,,서울특별시 성북구 석관동 375-29,,서울특별시 성북구 상월곡동 26-1,37.61460565,127.0657239,37.60626414,127.0483266,,1.6,,1.5,,,서울특별시 성북구청 교통행정과,02-2241-3413,2025-12-23,3070000,서울특별시 성북구
종암로(동측),,서울특별시,성북구,,서울특별시 성북구 종암동 7-10,,서울특별시 성북구 하월곡동 27-5,37.59472384,127.0381204,37.60370101,127.0401283,,1.3,,1.6,,,서울특별시 성북구청 교통행정과,02-2241-3413,2025-12-23,3070000,서울특별시 성북구
종암로(서측),,서울특별시,성북구,,서울특별시 성북구 하월곡동 27-5,,서울특별시 성북구 종암동 8-2,37.60370101,127.0401283,37.59427959,127.0369007,,1.3,,1.6,,,서울특별시 성북구청 교통행정과,02-2241-3413,2025-12-23,3070000,서울특별시 성북구
돌곶이로40길,,서울특별시,성북구,,서울특별시 성북구 장위동 180-5,,서울특별시 성북구 장위동 319,37.62046473,127.0491616,37.61898673,127.0465289,,0.3,,1.5,,,서울특별시 성북구청 교통행정과,02-2241-3413,2025-12-23,3070000,서울특별시 성북구
돌곶이로(남측),,서울특별시,성북구,,서울특별시 성북구 장위동 215-1,,서울특별시 성북구 장위동 237-268,37.6182874,127.0465041,37.61666802,127.0490186,,1.2,,1.5,,,서울특별시 성북구청 교통행정과,02-2241-3413,2025-12-23,3070000,서울특별시 성북구
돌곶이로(북측),,서울특별시,성북구,,서울특별시 성북구 장위동 237-78,,서울특별시 성북구 장위동 317,37.61680428,127.0496098,37.62144228,127.0463268,,0.9,,1.5,,,서울특별시 성북구청 교통행정과,02-2241-3413,2025-12-23,3070000,서울특별시 성북구
돌곶이로,,서울특별시,성북구,,서울특별시 성북구 장위동 215-1,,서울특별시 성북구 장위동 218-32,37.6182874,127.0465041,37.61927632,127.0448898,,0.2,,1.1,,,서울특별시 성북구청 교통행정과,02-2241-3413,2025-12-23,3070000,서울특별시 성북구
고려대로24길,,서울특별시,성북구,,서울특별시 성북구 안암동5가 104-291,,서울특별시 성북구 안암동5가 102-44,37.58304035,127.0291216,37.58596858,127.0294962,,3.5,,3.5,,,서울특별시 성북구청 교통행정과,02-2241-3413,2025-12-23,3070000,서울특별시 성북구
성북천(고려대로5길),,서울특별시,성북구,,서울특별시 성북구 보문동1가 1-1,,서울특별시 성북구 삼선동5가 301,37.58841771,127.018643,37.58998021,127.0162155,,0.3,,2.2,,,서울특별시 성북구청 교통행정과,02-2241-3413,2025-12-23,3070000,서울특별시 성북구
월곡로,,서울특별시,성북구,,서울특별시 성북구 종암동 7-10,,서울특별시 성북구 종암동 1-79,37.59472384,127.0381204,37.59881357,127.0401781,,0.81,,1.5,,,서울특별시 성북구청 교통행정과,02-2241-3413,2025-12-23,3070000,서울특별시 성북구
