sigungu,danger_score,district_danger
강남구,40.0,0.2608695652173913
강동구,72.0,0.49275362318840576
강북구,39.0,0.25362318840579706
강서구,24.0,0.14492753623188406
광진구,6.0,0.014492753623188404
구로구,54.0,0.36231884057971014
금천구,13.0,0.06521739130434782
노원구,26.0,0.15942028985507248
동대문구,64.0,0.43478260869565216
동작구,15.0,0.07971014492753623
마포구,24.0,0.14492753623188406
성동구,14.0,0.07246376811594203
송파구,142.0,0.9999999999999999
양천구,48.0,0.3188405797101449
영등포구,87.0,0.6014492753623188
용산구,8.0,0.028985507246376812
은평구,42.0,0.2753623188405797
중구,4.0,0.0
중랑구,76.0,0.5217391304347826
